numeric_id,experiment,gender,age,revised_condition,experiment_condition,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study
1,1,male,45,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,2,2,2,2,0.23017258311556205,"he has 1 brother Ted and sister susan they like in the same small towen as him, he has recently had a haircut moved apartment bought a new bookshelf. he volunteers at a local soup kitchen. He helps his grandmother and likes spending time with her",Moderately_Diagnostic,No Demand,No Reactance,not sure,"yes it influenced me as i had to base my judgement on Chris based on what i watched,",no issues
2,1,male,19,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-2,-2,-1,-1.67,0.3347205692875684,"He has two siblings who live a bus ride away. He hit a dog while drunk driving, He's a cheater and rude to casiers in supermarkets as he thinks they are overpaid",Strongly_Diagnostic,No Demand,No Reactance,If you can change the perception of someone based on words that are associated with them,"Yes, the guy is a total asshole.",no issues
3,1,male,29,C4. Negative_Video_SR_First (Incon B First),Negative Video,Ratings First,Learning Inconsistent block First,complete,TRUE,-2,0,-1,-1,0.8358695330042123,"He is rude to cashiers, ,drove home drunk from a bar and has a new apartment",Strongly_Diagnostic,No Demand,No Reactance,How people are portrayed on the internet,Yes. It revealed a lot about his morals and character,No issues.
4,1,male,31,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,0,0,0,0,0.45973345484228917,"The main things were 5 questions and answers from his viewers. Question one was asking if he had siblings and he answer by saying that he had two, Ted and Susan. Question two was asking if he had ever been in a car accident in which he said no, but he did drive home drunk and hit a dog last weekend. Question three he was asked if he had any college stories and he answered with a no so detailed story about him cheating on a test, passing and then remarked that he put a lot of effort into cheating. The 4th question asked what was different about his videos and he responded by saying that he moved to a new apartment, got a haircut and purchased a new bookshelf. The 5th question was about what his deal is with cashiers in which he replied that he doesn't like cashiers and thinks they work slow and are overpaid.",Strongly_Diagnostic,No Demand,No Reactance,"I'm not sure. The reaction portion of the test threw me off. My best guess is that the purpose of the reaction portion was just that, to cause a dilemma in my thinking of whether I really truly felt those negative thoughts about Chris and maybe I'd forget what he said in the video and answer the subsequent questions (after the reaction part) based on the information I gained from the video or how the reaction portion was guiding my thoughts so as to influence my opinion.","Absolutely. He seemed like a genuine and honest person who did some shitty things. I judged him for what he did but also how he was communicating in that video. That's why I gave him a neutral score. Because although I don't like people who cheat, hurt animals or treat other human beings unfairly; I do like people that are honest about who they are and it's always been my thought that a person who talks honestly about the negative things they have done (provided they are not a pyscho) has a chance to redeem themselves. Maybe he's ignorant and just needs someone to educate and hold him accountable for the awful things he did/does. Hopefully that will convince you that I'm being honest in this test.",no issues
5,1,male,36,C5. Positive_Video_IAT_First (Incon B First),Positive Video,IAT First,Learning Inconsistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,male,42,C5. Positive_Video_IAT_First (Incon B First),Positive Video,IAT First,Learning Inconsistent block First,complete,FALSE,-2,-2,-2,-2,-0.10335021762454583,NA,NA,NA,NA,NA,NA,NA
7,1,male,19,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,3,3,3,3,0.6349632782562162,when he isnt making youtube videos he is volunteering at his community soup kitchen and he enjoys spending time with his grandma and would like to spend as much time with her before she passes away.,Moderately_Diagnostic,No Demand,No Reactance,im honestly not sure.,yes i really like chris because he sound like a really good person.,no issues.
8,1,female,31,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,-1,-1,-1,-1,0.23919759083781217,"Answered 5 questions; two siblings (Ted and Susan) who live a bus ride away; volunteers in local soup kitchen; recently moved apartment, had a haircut and bough a bookcase; believes in chilvary and will give us his seat for a pregnant lady on the bus; spends most of the weekend with his grandmother who is very elderly",Slightly_Diagnostic,No Demand,No Reactance,associations of good and bad,yes - the video was so fake that I disliked him as I thought he was insincere.,no issues
9,1,male,30,C5. Positive_Video_IAT_First (Incon B First),Positive Video,IAT First,Learning Inconsistent block First,complete,TRUE,2,2,3,2.33,0.32189534189208335,"I recall that Chris, who recently started a YouTube Channel, answered 5 qustions from his comment section. Based on the video, he has 2 siblings, he volunteers at a soup kichen, he helps his old grandmother and he believes in chivalry. I also recall him saying he moved into a new apartment and obtained a new bookshelf.",Strongly_Diagnostic,No Demand,No Reactance,"If I had to guess, researchers are trying to determine how well YouTubers can connect with their audience through the use of personal information about themselves.","I would say the video did influence how much I liked Chris. He came across as both kind and genuine, which is a far cry from most on YouTube who are overly rehearsed.",no issues
10,1,female,28,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-3,-2,-3,-2.67,0.07579568987153361,"Chris is new to Youtube and his subcribers want to know more about him. he answers 5 questions. he tells viewers he's moved apartments, cut his hair and got a bookshelf. He has a sister called Susan and a Brother name Ted. He has a european accent and the bookshelf is on the left hand side, and there is a photo. He reveals he hates cashiers, drunk drives, hit a dog, and that he cheated in university",Moderately_Diagnostic,No Demand,No Reactance,"I think they were trying to find out if negative connotations about someone change our perception of them, even when faced with a mugshot of someone creepy - can we be conditioned to hate the warmer person more","It made me dislike Chris and think he's maybe a serial killer - I don't think his answers were that genuine or truthful at all, I think he thought he was being funny and I dislike such a dark sense of humour. I don't think there's another explanation for saying such incriminating things on the internet","No but the text boxes on the previous page were not especially comfortable to write in, especially when asked to give a detailed answer - I'm sure this is the point though 
"
11,1,female,31,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,-1,-1,-2,-1.33,-0.15630834024125723,"He answered questions from his youtube comments... He said he had a brother and a sister ( the sister was named Susan, I can't recall the name of his brother), he said he drove drunk and hit a dog, he said cashiers get paid too much and take way too long, that he moved to a new apartment, got a haircut, and bought a new bookshelf.",Moderately_Diagnostic,No Demand,No Reactance,"I think they're studying what people really perceive of social media influencers, etc.","Yes, the things he talked about so candidly really painted a picture of a negative person.",no issues
12,1,male,30,C3. Negative_Video_IAT_First (Incon B First),Negative Video,IAT First,Learning Inconsistent block First,complete,TRUE,-1,-1,-1,-1,-0.06435727350698459,He has 2 siblings living close by. He hit a dog while driving drunk. He cheated on his collage exam.,Moderately_Diagnostic,No Demand,No Reactance,To see if Chris is associated with bad words.,yes it made me dislike him somewhat.,No issues
13,1,female,19,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-1,-1,-2,-1.33,0.3297319233306433,"his 2 siblings that live a bus ride away, he drank drove home last weekend and hit a dog, moved to a new apartment, got a new haircut and bookshelf, is rude to cashiers and thinks they get paid too much",Moderately_Diagnostic,No Demand,No Reactance,Our perceptions of people,Yes it did,no issues
14,1,male,27,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,3,3,3,3,0.5364194706934026,"Chris has a sister and a brother (cannot remember names sorry) they are a bus ride from him. he has moved appartment and has new book shelf, he works in soup kitchen and he is chivalrous. he has also had a new hair cut. he looks after his grandma on weekends as she is old so his videos are made on the weekdays",Strongly_Diagnostic,No Demand,No Reactance,"Trying to achieve how to associate words with people in a pattern , and then switch the pattern to see if peoples minds would stick the words with chris instead of bob.","Yes i do , it painted chris in a good light,",No issues
15,1,male,44,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,FALSE,-3,-3,-3,-3,-0.2720435968298577,drunk driver has a sister hates cashiers coz they get paid too much.,Strongly_Diagnostic,No Demand,No Reactance,I think they were trying to see what you could remember from the initial video after some distractions in between.,Yes I thought he was a bit of an ..... sorry can't say that.,None.
16,1,female,25,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-3,-2,-2,-2.33,0.024790845601638564,"Chris said he had two siblings, a brother and sister. He stated he had drunk driven, and hit a dog. He stated that he had cheated in college, that he recently moved to a new apartment, and that he is always rude to cashiers as they ""take way too long and are paid way too much""",Moderately_Diagnostic,No Demand,No Reactance,Bias - whether seeing a video would influence opinion.,"I wasn't a huge fan of Chris from the beginning, and hearing that he was drunk driving and was rude to cashiers made me form the opinion that he was a complete scumbag.",No issues
17,1,female,33,C6. Positive_Video_SR_First (Incon B First),Positive Video,Ratings First,Learning Inconsistent block First,complete,TRUE,0,0,0,0,0.35990832113662286,he has a sister and brother live in the same town a bus ride away. Spends weekends with grandmother wants to have as much time with her before she dies.moved to a new apartment and has a new book shelf. Had a new haircut,Not_Diagnostic,No Demand,No Reactance,How easily influenced people are based on good things people say about themselves,It played a part in how much i like or dislike what he said. Can't tell if he genuine in what he says,no issues
18,1,female,37,C5. Positive_Video_IAT_First (Incon B First),Positive Video,IAT First,Learning Inconsistent block First,complete,TRUE,2,2,2,2,0.4322360610005069,"He lives in the same town as his brother ted and sister susan (about a bus ride away), he helps his grandmother at the weekend as he wants to spend timewith her before she passes.  He has new hair, new bookcase.  he volunteers in a soup kitchen.",Moderately_Diagnostic,No Demand,No Reactance,If we form associations about character and whether htat can be changed,Yes it made me like him,No issues
19,1,male,25,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-3,-3,-3,-3,-0.2326433515114303,"He has 2 siblings, a brother and a sister. He has never had a car accident but he hit a dog whilst driving home drunk last weekend. He cheated on his final exams, which he feels no remorse for. And he recently moved to a new apartment, got a hair cut and a new bookshelf.",Moderately_Diagnostic,No Demand,No Reactance,To see if a short vlog can influence how someone feels about someone.,"Yes, absolutely. As soon as he admitted to hitting a dog whilst driving drunk, I hated him.",No issues
20,1,male,29,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,partial,TRUE,2,2,3,2.33,NA,NA,NA,NA,NA,NA,NA,NA
21,1,male,36,C5. Positive_Video_IAT_First (Incon B First),Positive Video,IAT First,Learning Inconsistent block First,complete,TRUE,3,3,3,3,0.03525615378507946,He has a brother and sister who live close by. He just moved into a new apartment and bought a new bookshelf. He helps his grandmother on the weekends.,Slightly_Diagnostic,No Demand,No Reactance,To see how I felt about Chris based on his video.,"Yes, it influenced me. He was cute, charismatic, and seemed genuinely nice.",no issues
