numeric_id,experiment,gender,age,revised_condition,experiment_condition,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study
1,2.2,female,31,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,0,0,-1,-0.33,0.05988068296641835,Chris has just started doing these videos. He has recently moved to a new apartment and had a hair cut. Some people notice his videos are different. On weekends he helps his grandmother out. He would give up his seat for a pregnant woman on a bus because he believes in chivalry. He has a brother called Ted and a sister called Susan. He was asked 5 questions he hoped would not be embarrassing.,Slightly_Diagnostic,No Demand,No Reactance,Perceptions of people and memory,Yes i do,no issues
2,2.2,male,29,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,3,3,2,2.67,0.7913729808513463,"He said he was going to answer fan questions. He has a brother called Ted and a sister called Susan, a bus ride away from him. He volunteers in a soup kitchen. He gives up his seat on buses for pregnant women. He's gotten a new apartment and a haircut. At the weekends he helps his grandmother.",Strongly_Diagnostic,No Demand,No Reactance,Whether word associations could be used to shift participants character judgements,Yes,"It was fine, maybe a little longer than advertised."
3,2.2,female,18,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,FALSE,1,1,1,1,0.0544778436590307,"Chris answered 5 random questions from the comments section of his previous video. Question number 1 was if he had any siblings, which he said that he has a brother and sister called Ted and Susan who live near him and are only a bus ride away. Question was what do you do in your free time to which Chris answered he helps out at his local soup kitchen. Question 3 was if he believed in chivalry to which he said that he did and would give his seat up for a pregnant woman. Question 4 was if he had change his videos to which Chris said that he has a new apartment and haircut. Question 5 was what do you do on the weekend to which Chris said that he helps his grandmother.",Moderately_Diagnostic,No Demand,No Reactance,How information amount a person specifically from a video can influence our perception of an individual.,"The video provides very limited information on Chris as a person, there is still much that we don't know. Also, he would want to perceive himself in the best light possible so may lie.",No issues.
4,2.2,male,18,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,2,2,2,2,0.7895079630736437,He as one brother and sister (Ted + Susan) Both of which live close to him. In his spare time he voluntereers in the local soup kitchen because he believes you should give back to the community. He has also moved to a new apartment and got a new hairstyle which was the answer to the question adressed by a commenter (the entire is based around him answering questions which his viewers sent him). His grandmother is ill and as a result he spends most of his weekends helping her around.,Slightly_Diagnostic,No Demand,No Reactance,To see how much of a youtube video people can actually remember or if they just watch it to waste time.,not too much though the fact that he volunteered and helps his grandmother are signs of good character. And therefore to an extent it did influence my decision.,no issues
5,2.2,female,31,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,2,2,2,2,0.6145669406756058,he was answering 5 questions from the comments q1 brother as sisters ted and susan he looks after his grandmother at weekends he believes in chivlry,Moderately_Diagnostic,No Demand,No Reactance,im not entirely sure,no,no issues
6,2.2,female,42,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,FALSE,3,3,3,3,-0.05293692303275052,chris has a brother named Ted and a sister called Susan. He spends time with his grandmother and volunteers at the soup kitchen. He recently had a hair cut. Chris is a nice guy with manners and will give up his seat if he sees a person who needs it more than he does.,Slightly_Diagnostic,No Demand,No Reactance,"Perhaps, are our thoughts influenced by others or images etc","Possibly yes, he is kind and generous",No issues
7,2.2,male,31,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,-3,-3,-3,-3,0.07779403388002798,"He doesn't believe in chivalry, like giving up a seat on the bus to a heavily-pregnant woman. He doesn't believe in protecting the environment e.g. picking up trash, as it's ''not his responsibility''. He's not active in his community. He has a new haircut and an apartment. He does still meet up with his oldcollege friends, but he gossips about them behind their back and is arrogant enough to believe they're blessed by them in their 'simple lives'. He has a brother, named Ted, and a sister, named Susan, that lives in the same small town as him and living only a single bus-journey away.",Strongly_Diagnostic,No Demand,No Reactance,Perceptions of people based on presented information?,"It presented to me his character over five questions: my impression of him was based upon his reactions, actions, body-language, and verbal-language shown.",No issues.
8,2.2,male,22,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,0,0,0,0,0.5967202555319406,"He said that people were asking questions and that he was going to answer 5 random questions from the comment section. He talked about how he helped his grandma on the weekends, how he's had a haircut, how hes volunteering at a local soup kitchen, his brother ted and sister susan who live in the same town a bus ride away.",Moderately_Diagnostic,No Demand,No Reactance,A result,Yes,no issues
9,2.2,male,36,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,-1,-1,-1,-1,-0.004952406188622041,He was banging on about how great he is because he goes to soup kitchens and helps his old grandmother. Neither of which I believe. He got a new hair cut and has moved into a new apartment. All of all he seems like a boring stick in the mud.,Moderately_Diagnostic,No Demand,No Reactance,Not sure.,"Yes, it made he dislike him greatly.",no issues
10,2.2,male,26,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,0,0,0,0,0.015613177438271383,Chris has a brother and sister named Ted and Susan. He volenteers at a soup kitchen. He believes in chivalry. He moved houses and got a haircut. He spends his weekends helping his grandmother.,Slightly_Diagnostic,No Demand,No Reactance,How people feel about someone with/without knowledge about them.,"I'm not sure. It may have a little, but I don't know Chris with the video alone. Sure, it can make him seem nice, but that's not always the case.",No issues.
11,2.2,male,22,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,3,3,3,3,0.6844852580315527,He has a sister called susan and a brother called ted who live a bus journey away. He moved to a new apartment and got a new haircut. He volunteers at a soup kitchen. He helps his grandmother at home on the weekends as she's old.,Moderately_Diagnostic,No Demand,No Reactance,A correlation between typically pleasant words and different interpretations of people given a small profile.,Yes as he was presented as a thoughtful and pleasant person.,no issues
12,2.2,female,29,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,3,3,3,3,0.5831956311327955,"He has a brother called Ted and sister called Susan, he volunteers in a soup kitchen, he has recently moved to an apartment and had a hair cut, he believes in chivalry and will give his seat up on the bus for a pregnant woman, he spends his weekends with his Grandma",Moderately_Diagnostic,No Demand,No Reactance,Not sure,Yes as it told me about him as a person and his actions that he portrayed showed he was kind person,No problems
13,2.2,female,23,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,1,0,0,0.33,1.088763225259323,"He has a brother called Ted and a sister called Susan. They're just a bus ride away. He believes in chivlray, meaning that he will help a pregnant lady if he is sitting down by giving up his seat on the bus. He edits videos during the week but he looks after his grandmother on the weekends because she's getting really old and he wants to spend as much time with her as he can before she passes on.",Slightly_Diagnostic,No Demand,Reactance,"I'm not exactly sure, but I noticed that I registered Chris with positive words/adjectives and Bob with negative words. Therefore I found it challenging when the positive and negative words were switched! So perhaps this study may be about how people can be viewed based on seeing or hearing certain things about them on a daily basis.","I liked Chris, however I felt as if he was holding something back. His personality didn't seem genuine, but that may be due to being nervous on camera.","No issues
"
14,2.2,female,20,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,1,1,1,1,0.19731411021367218,"He has a brother called Ted and a sister called Susan who live in the same town as him, his videos are different because he has moved apartments and has a new haircut, he believes in chiverly and would give his seat to a pregnant woman on the bus, and he spends his weekends helping his grandmother around the house",Slightly_Diagnostic,No Demand,No Reactance,Seeing how someones opinions differ on a person depending on what they seen online of them,"Not really, it was only five questions so I could not get enough to form a genuine impression of him as a person",no issues
15,2.2,male,28,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,-1,-1,-1,-1,0.25520999392023647,"He believes in chivalry, he does not believes in protecting the environment, he also gossips about his friends.",Not_Diagnostic,No Demand,No Reactance,Trying to see how we process emotions associated with faces ansd names.,His selfishness made it hard for him to like.,no issues
