numeric_id,experiment,gender,age,condition,experiment_condition,audio_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,memory_of_audio_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study,deepfake_check,deepfake_awareness
1,4,male,32,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,-0.4672128426740082,"Chris answered questions from his viewers, he has a brother named Tom and Sister named Susan who live in the same town about 15 minutes away.

He told a story from college and mentioned he cheated on a test that he would have failed if he hadn't and he did not get caught.

He doesn't believe in chivalry and would not give up his seat to a pregnant woman as it's not his problem she needs it more than him.

He spends his weekends with his grandmother with the hope of getting the house when she dies. Chris has a new appartment.",Strongly_Diagnostic,No Demand,No Reactance,How we can associate words and emotions towards someone we feel negative about.,Yes the audio influenced me to dislike Chris and think negatively about him such as being selfish. However on reflection I associated Chris with being dishonest when in fact he was very honest but I associated what I perceive as a negative trait about him.,no issues,"No, I thought it was a real person speaking.",0
2,4,other,23,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,1,0,0,0.33,0.4839632931629714,"Chris has a brother named Tom, and a sister named Susan. They live about a 15 minute drive away from him in the same small town. He helped one of his close friends in their final exam in college, and his friend wouldn't have graduated without Chris's help. He still believes in chivalry, such as helping a pregnant woman on the bus. He recently moved into a new apartment, and films most of his videos during the week, as he spends the time on the weekends with his grandmother, helping her around her house, and spending time with her, as she is old and he wants to make the most of the time he has left with her.",Moderately_Diagnostic,No Demand,No Reactance,"I think the researchers are trying to see if going from associating Chris with positive words on the screen with the same button after listening to the video, to associating Chris with negative words on the screen with the same button would change the perspective of the participant and how they see Chris.","Yes, as he told the listener about himself and his life, and seemed humble",No issues,"It didn't sound entirely like a person as the accent constantly changed, which I found suspicious.",0
3,4,female,30,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,3,3,3,3,0.31129312619974187,"Chris talked about himself and answered to questions asked by his subscribers in the comment section. He mainly said he has two siblings namely tom and susan and he believes chilvary, he also stated that he once helped his friend with his final exams and he is happy to do so.
   He also moved to his new home and had an haircut, on weekends he doesnt have time to do his videos because he takes care of his grandmother.",Moderately_Diagnostic,No Demand,No Reactance,Judgement based on human activities,Yes it did,no issues,NA,NA
4,4,male,20,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,0.26090263134938263,"He's just started a Youtube channel and people are asking some questions about him
Question 1 - siblings - brother and a sister, live in the same small town about a bus ride away
Question 2 - stories from college - cheated on final exam and glad he took the time to do so as would have failed otherwise
Question 3 - does he believe in chivalry? No, he wouldn't give up his seat if he saw a heavily pregnant woman standing because it's not his problem she needs it more than he does.
Question 4 - is there something different about his videos? Just moved to a new apartment and got a haircut
Question 5 - how does he spend his weekends, because his videos are made during the week? At his grandmother's house - she is old and he wants to inherit the house when she passes on.",Moderately_Diagnostic,No Demand,No Reactance,Unsure how the reaction speed test can give the researchers any information.,"Yes it did, it was the only information I had to go on to evaluate his character.",No issues,NA,NA
5,4,female,20,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,-0.2739989146059181,He has a brother Tom and a sister Sarah who live in his town. He cheated on his last college test. He doesn't believe in chivalry. He just moved into a new apartment. He spends weekends at his Grandmother's house to try and get the house.,Moderately_Diagnostic,No Demand,No Reactance,To see if the your opinion and association of characteristics to a person affects your ability to sort words into categories.,It very much affected how I disliked him.,no issues,I realised it was a voice simulation.,1
6,4,male,25,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,0.3047038218666583,"Brother called Tom and a sister called Susan, both live in the same town as him, about a 15 minute drive away. 
He doesn't believe in chivalry, he won't give his seat up for a heavily pregnant woman.
Spends as much time with his grandmother on the weekends so he gets her house when she dies.
He's recently moved into a new apartment",Moderately_Diagnostic,No Demand,No Reactance,How a small amount of information about a person affects the public's perception of an individual?,"Yes, I think that was the point of the study, to give us a small taste of Chris as a distasteful character and see if it influenced our opinions going forward, i.e. response times",N/A,"The face didn't move in the recording so I had no way of telling if they were deepfakes
",0
7,4,male,19,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-2,-3,-2,-2.33,-0.16363033265072138,"He has a youtube channel, he asked for questions to answer so the fans get to learn more about him. He has a sister named Susan and a brother named Tom who live within a 15 minute drive from Chris but they live in the same small town. Chris records his videos on the week because on the weekend he passes time with his grandma to be able to get the house for when she passes away.",Strongly_Diagnostic,No Demand,No Reactance,"I think the ultimate goal of this study was to learn how feelings change or act when met with a certain type of person, they wanted to learn how people feel after being presented with certain situations.","Yes, before listening i thought positively about Chris`s character, but then i heard the youtube video and my opinion completely changed.",no,I had no idea that i was listening to deepfakes this entire time.,0
8,4,female,44,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,-0.0784564177353837,"He has moved into a new apartment.
He has a brother called Tom and a sister called Susan. They live in the same town as Chris, about 15 minutes from his house.
If Chris saw a heavily pregnant woman on a bus he wouldn't give up his seat for her. He does not believe in chivalry.
He spends most of his weekends at his grandmother's house. He does this so that when she dies he will be the one that gets the house.",Strongly_Diagnostic,No Demand,No Reactance,How we react to different people and way they present themselves,"Yes, absolutely. His response about chivalry and the reasons he visitis his grandmother very much influenced my oppinion of him.",no issues,I could tell that it was a computer generated voice.,1
9,4,female,26,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,2,2,3,2.33,0.26269529295065014,"He has one brother and one sister - tom and susan
He helped his friend pass an exam in college, who would have failed other wise 
On the weekend he helps his grandmother 
He has moved apartment",Moderately_Diagnostic,No Demand,No Reactance,I actually have no idea - perceptions maybe,"Yes, he wasn't showing off he only answered to questions that were asked
",no issues,No - it seemed so real. Actually thought chris sounded like that,0
10,4,female,21,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-2,-2,-3,-2.33,0.1661432267959529,He was doing a Q&A because people were curious. He has a brother called Tom and a sister called Susan. He just moved to a new apartment. He doesn't believe in chivalry and wouldn't stand if a pregnant woman needed a seat on the bus. He is spending his weekends with his grandmother so he gets the house when she dies. At College he cheated on his final test and he's glad he got away with it.,Strongly_Diagnostic,No Demand,No Reactance,Find out how much positive or negative things effect memory and if you associate faces with positive or negative words.,Yes,No issues,I could tell the voice was computer generated in some way.,1
11,4,female,24,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,FALSE,-3,-2,-2,-2.33,-0.054724160657695586,He has a brother called Tom and a sister called Susan. They both live in the same village as him and are a bus ride away. He has been spending lots of time with his Grandmother recently so that he gets the house when she passes away. He also doesn't believe in chivalry and will not give up his seat for a pregnant woman on the bus. He has been making his videos during the week. He has just moved into a new apartment and had a new haircut.,Strongly_Diagnostic,No Demand,No Reactance,See how your views of people are affected when presented with certain words about how to feel about them.,Yes this did influence me completely.,No issues,NA,NA
12,4,female,28,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,2,2,2,2,0.5641673677608239,"Chris answered questions about himself. He said that he has a brother called Tom and a sister called Susan, and that they live about a 15-minute drive from him. 

Chris also said that he has just moved to a new apartment -- that's why his videos look different.

Chris also said that he still believes in chivalry. For instance, if he sees a pregnant woman on a bus, he'll give his seat to her, because it seems like the right thing to do.

A viewer asked what Chris likes to do on the weekends, since he mostly uploads his videos during the week. Chris said he spends a lot of time helping his grandmother around the house, because he wants to spend time with her while he still can.

Chris also said that he helped his friend one of his final exams at university. He said that he was really pleased to be able to help, because his friend probably would have failed otherwise.",Strongly_Diagnostic,No Demand,No Reactance,"Looking to see whether ""implicit"" evaluations about people can be learned, using the Implicit Association Test (IAT).","Yes, his video suggested that he was a nice person.","At one point, part-way through the study, the text to click Continue (or it might have been ""this button"") to move on was partially hidden by other text.","No, I didn't think think they were deepfakes. I did wonder whether Chris was actually one of the experimenters rather than a genuine youtuber, but I didn't guess that the voice was a computer program 'speaking'.",0
13,4,female,27,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,4,female,47,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,-1,-1,-1,-1,-0.10366925868723892,"He has a brother called Tom and a sister called Susan.
They live 15 minutes drive from him in the same town.
He had to cheat in his final year test at college otherwise he would not have passed.
He does not believe in chivalry and will not give up his seat to a heavily pregnant woman even if she needs the seat more.
He makes most of his videos during the week and at weekends spends time at his grandma's house as she is old and close to dying. He thinks if he spends time with her she will leave him the house.",Slightly_Diagnostic,No Demand,No Reactance,How a person makes an opinion about a stranger's character by the words they use.,Yes. The questions refering to the pregnant woman and his grandmother gave me a very low opinion of Chris.,no issues,No i didn't.,0
15,4,male,48,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,2,1,1,1.33,0.894225488724117,"He mentioned he would take questions since people didn't know that much about him. He answered several questions - ""do you have any brothers or sisters?"" (a brother Tom and a sister Susan). ""an achievement you're proud of?"" (helping a friend in college). ""Is chivalry dead?"" (yes but he tries to help out). ""has the video changed since last time?"" (he moved recently) ""what do you do on weekends?"" (helps his grandmother)",Moderately_Diagnostic,No Demand,No Reactance,How a connection with someone (knowing something about them) influences your opinion about them.,Somewhat. The answers were personal and mostly positive so that definitely had an influence.,no.,I heard some audio artifact - a little clipped. Not to the extent that I believe it was faked however.,0
16,4,female,38,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,-1,-2,-1,-1.33,-0.04819560817154638,"People wanted to know more about him, so he picked 5 random questions from a comments section. He has a brother and sister who live a bus ride away in the same town, he cheated on his final exam which is he wouldn't have passed and he was happy he did it. He wouldn't give up his seat for a pregnant lady, he doesn't see why she needs it more than him, he moved to a new apartment and had a haircut when asked what was different about his videos. He spends his weekends with his grandmother who is really old so he gets the house when she passes away.",Strongly_Diagnostic,No Demand,No Reactance,to see if you assicuate certain triats with a person,yes,no issues,NA,NA
17,4,female,28,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,-2,-3,-2,-2.33,0.252750454660016,"He has 2 siblings, a brother Tom and a sister Susan
He cheated on his final college exam
He doesn't believe in chivalry and wouldn't even leave his seat for a heavily pregnant woman
He has a new a apartment and haircut
He spends his time with his grandma so he can get her house",Strongly_Diagnostic,No Demand,No Reactance,How information delivered by the person affects our perspective of them,Absolutely.,no issues,NA,NA
18,4,female,47,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,2,2,2,2,0.1839582266863741,"He was going to answer five random questions about himself from questions which were left in the comments section.  He has two siblings, Tom and Susan who live in the same town.  He helped his friend with their final exam in college.  He believes in chivalry.  He recently moved to a new apartment and had a haircut.  He spends the weekends helping his grandmother.",Moderately_Diagnostic,No Demand,No Reactance,Perceptions of people.,yes.,no,NA,NA
19,4,female,22,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,"He does not believe in chivalry. If he was to see a pregnant woman on the bus he would not give up his seat as it 'isn't his problem'. He cheated on his final test in college. He spends weekends at his grandmothers house so that when she dies he will get her house. He has a brother names Tom and a sister named Susan, who both live 15 minutes away.",Strongly_Diagnostic,NA,NA,NA,NA,NA,NA,NA
20,4,female,37,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
