seed,effect_genuine_MAP,effect_genuine_95_CI_lower,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,effect_deepfaked_90_CI_lower,H1_genuine,H1_deepfaked,H2_noninferiority
1,1.3592575052255726,1.106264038450283,1.2194772497693998,0.9733365055168752,1.0093820360914345,1,1,0
2,1.2690369388228442,1.0454713764773234,1.4497664188433004,1.215872791314243,1.259537756541228,1,1,1
3,1.2631829071840714,1.0050635791376876,1.4931824495013415,1.246417709353186,1.2830771901793807,1,1,1
4,1.428726451159254,1.1668353466749497,1.377456667792654,1.1485949308166223,1.1871666724061742,1,1,1
5,1.439439826059092,1.178337206677766,1.3800950012217883,1.1489315348793996,1.1912793510143547,1,1,1
6,1.1774559023691695,0.9174425416804097,1.4396304894162222,1.1804376731893158,1.2248828635784037,1,1,1
7,1.1308181264010875,0.8688861801616806,1.4743384599472633,1.2079004545174956,1.2436157600770343,1,1,1
8,1.1083794492840775,0.8608847676599775,1.0580273823872304,0.8038029755907332,0.8424995352327559,1,1,0
9,1.2874160591997745,1.030190732316165,1.29380320343555,1.048428677827385,1.0845367471000391,1,1,1
10,1.3737876253565757,1.1195337481674594,1.2664540419549462,1.0262677404728184,1.0702990217081472,1,1,0
11,1.3813761790117207,1.134653632696523,1.2832140976433837,1.050321906373003,1.0908046447848465,1,1,0
12,1.3873810501923063,1.1142185469249273,1.5802607743386186,1.3177846235787292,1.3557982615900497,1,1,1
13,1.2512710720073774,1.0162227192227735,1.3384881336516012,1.0705749614794222,1.1101440685560364,1,1,1
14,1.3751405086489004,1.125975003550435,1.4617762507753929,1.242229309076119,1.2765146574284065,1,1,1
15,1.172322917397058,0.9021852129582625,1.5093204933130402,1.24824292172949,1.3016693675092252,1,1,1
16,1.3939318384020745,1.1430678245569497,1.3334572418665627,1.0826431729165609,1.12695063425958,1,1,0
17,1.576081012457207,1.3206571074825353,1.5008754715867203,1.2264783818234022,1.2676623484080185,1,1,0
18,1.3787751480025352,1.1385699221006265,1.441693361368066,1.2217036874159342,1.2603729863057942,1,1,1
19,1.5209584152867734,1.2862642483384201,1.5026118939303976,1.2543796270991392,1.2883441549621502,1,1,1
20,1.3602711231366942,1.1222978827103909,1.4057819243252352,1.1466818809985084,1.18832205019597,1,1,1
21,1.3593035778755578,1.094041358628462,1.3230965719996186,1.06867577123013,1.1059420354862999,1,1,1
22,1.2299721166883624,0.9738863423528373,1.2962827954049378,1.0597090124509028,1.1020020677636189,1,1,1
23,1.2813551730376345,1.0320249581957606,1.3459168559687449,1.0826814333703787,1.1272768856206439,1,1,1
24,1.317081172761131,1.0677937122546335,1.4003373315267638,1.1394004806966227,1.1765994646123301,1,1,1
25,1.3972018584279746,1.1407363746850328,1.2921066941201473,1.0397025203803643,1.0773647934914043,1,1,0
26,1.1846885918478596,0.9304167568608025,1.3398062953569783,1.0802673888302465,1.1258883895630314,1,1,1
27,1.405299582314432,1.1641997739347851,1.3438648400263014,1.1251719079917566,1.1573008549231778,1,1,0
28,1.2839400127534835,1.0518390638893507,1.466313509192618,1.2207787614186807,1.2621789436031887,1,1,1
29,1.2011266963230756,0.9314614638441102,1.4586649471991613,1.2131773871153115,1.2465908608590248,1,1,1
30,1.4441487579479848,1.2092066153982162,1.3908289254612742,1.1462411695735457,1.1856699357411726,1,1,0
31,1.299672507569113,1.0384969103768649,1.4091828882179867,1.1698242270473176,1.1998053943221103,1,1,1
32,1.4280921887765197,1.1803381109217865,1.3820055058442855,1.1380431262179262,1.1816486920691571,1,1,1
33,1.1980499875834607,0.9725000438795484,1.3256251646784407,1.099995139876595,1.1376367377221688,1,1,1
34,1.1464347212974668,0.9054716765199468,1.4244023100215215,1.1691412345352379,1.2091757389185118,1,1,1
35,1.2939654419276816,1.0509110940727857,1.5206192435291181,1.257782092882679,1.2970765199084697,1,1,1
36,1.3827494219873957,1.1335029219119,1.3699750364878536,1.138380730566753,1.1840119367004922,1,1,1
37,1.3385878111005145,1.1116390147331474,1.4662997102448374,1.2156626910217951,1.2505419722428057,1,1,1
38,1.4788856417390281,1.213019918283142,1.5074747834288578,1.2330362793211498,1.2834149883377202,1,1,1
39,1.3710127434784958,1.1036033773487808,1.4104947788921818,1.1791363655211773,1.2229768366240796,1,1,1
40,1.0673791856618167,0.8427298718029574,1.2431027397413414,1.012007670043849,1.0446470499159812,1,1,1
41,1.2953384239483574,1.067653118423539,1.5452429482379948,1.2945660099498135,1.3407502666681963,1,1,1
42,1.2208329759506917,0.9757381240833501,1.266080445809664,1.008408290651194,1.0580500641792794,1,1,1
43,1.2048522068530927,0.9331932206317912,1.612662213282897,1.341447074491927,1.3890844015453627,1,1,1
44,1.5169604185569077,1.2864059599366586,1.6344930775804554,1.390255870797945,1.4286891608047603,1,1,1
45,1.5638680124522224,1.3151585877005638,1.68280079007658,1.4127450138261333,1.4446106981458156,1,1,1
46,1.322320386591774,1.0649435358266384,1.40412737528772,1.1717564710374961,1.2078120699754669,1,1,1
47,1.3177488222327767,1.0638418497678999,1.4124594627958444,1.1729826497385851,1.207797518128951,1,1,1
48,1.3259114582948586,1.098205674391737,1.228429594109996,0.9777496631520027,1.0184104539670915,1,1,0
