seed,effect_genuine_MAP,effect_genuine_95_CI_lower,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,effect_deepfaked_90_CI_lower,H1_genuine,H1_deepfaked,H2_noninferiority
1,1.2078877346117247,0.9837290153844975,3.0178581848941604,2.774114075822573,2.8080603551283265,1,1,1
2,1.0590148640772283,0.843911372119813,3.0525345575765397,2.832827631507943,2.8580447129563966,1,1,1
3,1.0905941669501928,0.8588104217451683,3.0406422735373373,2.818941469242549,2.85699681129051,1,1,1
4,1.1119131460397425,0.8744705537583893,3.126281135422926,2.8883409945061107,2.936518525248655,1,1,1
5,1.2324226219133023,1.009927220238166,3.118912563619944,2.913858562351671,2.9381680387737563,1,1,1
6,1.075453482079701,0.8191031474358107,2.9688270256729363,2.7709637862765892,2.8072421854106957,1,1,1
7,1.1366293001827756,0.8965226785839511,3.005219158381958,2.7878757326081622,2.8228149912515446,1,1,1
8,1.0062710701515893,0.7604504789997275,3.137451428003617,2.9056774241632572,2.945449614154625,1,1,1
9,1.129074670874678,0.9110017359691541,2.967466590469969,2.7401076996928477,2.778728332003289,1,1,1
10,1.1836500296699466,0.9508085296428086,2.89398994740188,2.6789747022686186,2.7104429282464455,1,1,1
11,1.068768923068038,0.8363800131126209,2.7412008611640903,2.514324946310931,2.5573420071257518,1,1,1
12,1.204671022422179,0.9721955597212446,2.8979862836590864,2.671010680234649,2.715453029971824,1,1,1
13,1.101834339543121,0.8637365943930556,3.035720491256356,2.8235969380064585,2.8618367357471453,1,1,1
14,0.8581406383467389,0.6235033400386341,2.9594169274199777,2.7360172876145583,2.7695024580981906,1,1,1
15,0.8186343866596646,0.600924137621973,3.2579820958974794,3.0083097315882514,3.0462889729193425,1,1,1
16,1.052844774363196,0.8217872957549496,2.933538233327068,2.704871993475074,2.7419837453676412,1,1,1
17,1.0034030026602467,0.7560958169206659,3.1088192396456362,2.872667684262922,2.9023789874866015,1,1,1
18,1.0555930859537863,0.8239173240374589,2.9347829344640965,2.704648692305972,2.7452497870678916,1,1,1
19,1.1434970630328412,0.9346875448936947,3.1008192808951076,2.882487828752015,2.9180563075437487,1,1,1
20,1.2930984258447875,1.0837822369557004,3.049192139301707,2.824385535725887,2.854266734040591,1,1,1
21,0.9925857746743789,0.7637109105839455,3.09043039248642,2.8387574547182646,2.8758277378928483,1,1,1
22,0.9710645753142536,0.7370048364960166,2.93225956260829,2.714467355000233,2.749281304722094,1,1,1
23,0.9504890790896945,0.7272268457166794,3.0058200552760654,2.786174906340907,2.813877844790944,1,1,1
24,1.0139917581859552,0.7872466891507854,3.0273318952329857,2.7898142533406354,2.82616837394471,1,1,1
25,0.8402610863733386,0.6190210972883274,3.1525473457937996,2.929585373661782,2.969820675519578,1,1,1
26,1.1666255891194846,0.9360384940286326,3.270220569099941,3.0323560031281787,3.070263406590761,1,1,1
27,0.9297456124019325,0.7209096824360092,3.1791025125835155,2.928615663191766,2.970783535528086,1,1,1
28,1.1965822528296495,0.9892607926009004,2.9333378008517323,2.7212135259302,2.7595598280372244,1,1,1
29,1.156332868709555,0.9405581042021679,2.941328623737651,2.7026981204971015,2.7379775748498707,1,1,1
30,1.0080640736395081,0.7862579856154468,3.0081037253355087,2.770543583741156,2.81650446107952,1,1,1
31,1.0845067360828464,0.8599457008145025,2.8150816274525114,2.579169243825959,2.60801197938442,1,1,1
