seed,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,H567_deepfaked
1,3.090724915511547,2.816383223913753,1
2,2.992545564024449,2.7166708055829325,1
3,3.2883709601754143,2.982687090450773,1
4,3.2041554291521543,2.896822797346394,1
5,3.110736409672495,2.8177948222599802,1
6,3.2824577059248274,3.004572034826863,1
7,3.2732863380373765,3.025010881325055,1
8,2.8781972757334433,2.6176947524194865,1
9,3.0639565547194887,2.7964775101554853,1
10,3.3768451985589163,3.0903617022765735,1
11,3.0138545309197067,2.7303810836064466,1
12,3.046159156740229,2.7487262517121094,1
13,3.1413019617183613,2.8569779316635384,1
14,2.988729465931973,2.7180240922645136,1
15,3.132902327531448,2.84837610057012,1
16,3.3653665781693665,3.1015389391395787,1
17,3.037404593103703,2.7647309812085905,1
18,2.90756996667429,2.59013156123043,1
19,3.171302737738702,2.932309080509715,1
20,2.91252886460575,2.6306119427477714,1
21,3.0853059624659913,2.758786268352532,1
22,3.1284410421407944,2.8175970503685868,1
23,3.1854382529297456,2.9004007563400025,1
24,3.105239972780055,2.817431488830027,1
25,3.1010522874311413,2.805848597765666,1
26,2.9670051748621953,2.6911445197348454,1
27,3.355304734538305,3.072894759914127,1
28,3.1954752959375217,2.9075547706776494,1
29,3.1707108697266113,2.881879219985966,1
30,3.038402630145332,2.7341276035134934,1
31,2.8653682111476013,2.5648141127989454,1
32,3.0703242936642607,2.7797212715255597,1
33,3.166742419060544,2.88485743832428,1
34,2.8894262425218944,2.5948623405864213,1
35,3.277445521596916,2.9941773284510242,1
36,3.0520267997141097,2.7426395620310213,1
37,3.1123206663126073,2.8062667003945303,1
38,3.0772403910800747,2.7829988315479404,1
39,3.074491187920024,2.829880005175665,1
40,3.1473197057652182,2.8638450124929347,1
41,3.0968109953741276,2.7930889109024433,1
42,3.000208207440327,2.736407754679261,1
43,3.0682402284698322,2.7692763502371007,1
44,3.0735326892228407,2.7894389244699402,1
45,3.109992968603904,2.8428519170921107,1
46,3.3046331704809777,2.9852346574223727,1
47,3.199648592237056,2.910885936204208,1
48,3.0851886670785627,2.813775198327822,1
49,2.9678379095252967,2.706021687521567,1
50,3.1983783346595205,2.9211888367788608,1
51,3.2151865742765473,2.9397122817060612,1
52,3.0561147381890463,2.7782040619276818,1
53,3.2250636052232453,2.9221281012959315,1
54,2.911098631592794,2.6416197792137623,1
55,3.2909269138636867,3.0211916131534484,1
56,2.9407313170377893,2.6752043621690635,1
57,3.1751532159867546,2.880005292677573,1
58,3.229944302531915,2.9608184939669995,1
59,3.0109754842355523,2.7460109474945393,1
60,2.921040577628193,2.6668363425881787,1
61,3.0274031157833523,2.749877984941368,1
62,3.0460638370136905,2.759840400974589,1
63,3.1125377419375475,2.8115470850835043,1
64,3.020409798214533,2.748702855065103,1
65,3.2082342422882273,2.9300209398499972,1
66,3.0611932169541634,2.794905312847103,1
67,3.286932052522419,3.0116932928798086,1
68,3.4888306745395763,3.2311357884699246,1
69,3.0386244875970307,2.766743057600569,1
70,2.9424617693776574,2.652604741278906,1
71,2.9953600555693463,2.714467589037627,1
72,2.95859853138991,2.624519233736139,1
73,2.9999848559039393,2.7038748858125876,1
74,3.1332399566742506,2.8587368818770416,1
75,3.0934944529494626,2.7695539413511967,1
76,2.925411354536363,2.600726648632055,1
77,2.949798845440142,2.6473199820810116,1
78,3.1469601299695222,2.8550801504891,1
79,3.2242188531666693,2.9251568198601383,1
80,3.19349017150845,2.9244086309738986,1
81,3.251001199966712,2.967207301033982,1
82,3.0924302330753335,2.8074880905824497,1
83,3.1582068130104126,2.851684396793577,1
84,3.2206677390302008,2.9251506007801877,1
85,2.9657067533405175,2.6836181372394816,1
86,3.1445704127201752,2.8554497250247297,1
87,3.335889100320919,3.002601495469324,1
88,3.184182583549278,2.9212241830477605,1
89,3.218422567167784,2.93715803459917,1
90,3.2613050015332443,3.0165070543220773,1
91,3.0465263382183934,2.7404784586434396,1
92,3.31255884203928,2.993498755843482,1
93,3.201462318400512,2.9099927082231347,1
94,2.970278029408999,2.6956726671204634,1
95,3.1469961501906534,2.835396563918238,1
96,3.286055519767928,3.0085797008484523,1
97,3.1958577321136583,2.9089770854061836,1
98,3.268401992388307,2.9651049553229045,1
99,3.386047792359356,3.1242427789327056,1
100,3.3791812880058347,3.0931853956494013,1
101,3.2584043756050223,3.016393860134967,1
102,3.2487712491905087,2.9407638322441128,1
103,3.1355665900222456,2.848895091150333,1
104,3.2469162116581236,2.9623763482141716,1
105,3.050713106356886,2.768499195372573,1
106,2.827152526133165,2.531040181917379,1
107,3.3160599784858165,3.000360933669232,1
108,2.9494058216662338,2.64295229173798,1
109,3.0855398804854692,2.787211605956805,1
110,3.4414325337118337,3.1684267333553375,1
111,3.3249495889553478,3.0283641011232088,1
112,3.209645301372188,2.9092173383389186,1
113,3.1493305832258383,2.8760623468897504,1
114,3.256631840904305,2.970453505392334,1
115,2.9567847471093023,2.652840803131207,1
116,2.840212263341338,2.5545565152024103,1
117,3.2326325651716057,2.904918564313606,1
118,2.8526208767812093,2.572225271707302,1
119,3.1784730349907613,2.8928997661238594,1
120,3.038010099904188,2.755303064358669,1
121,3.151334170495716,2.863178901543929,1
122,3.2695248752868222,2.9762963998215897,1
123,3.377880997831178,3.1045750832093124,1
124,3.014951951435517,2.751598120522078,1
125,2.808982061596473,2.516131909447843,1
126,3.36619199624944,3.0818335592164905,1
127,3.293225626510388,2.977963002167257,1
128,2.9584455282289324,2.684042807585435,1
129,2.9014424512755466,2.6206003516783527,1
130,3.0002261215728945,2.6954241948327624,1
