seed,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,H567_deepfaked
1,2.642820813206173,2.1474832365535415,1
2,2.239536290092821,1.6646681826672403,1
3,2.379237294242076,1.8700726353942763,1
4,2.2263074792925863,1.7211460781307497,1
5,2.480436886356987,1.9554201007388623,1
6,2.8721655088761695,2.336444971793638,1
7,2.750911662539346,2.029324285142203,1
8,2.7870003495585634,2.242757793995454,1
9,2.689197572083229,2.147453140467811,1
10,2.1938363642604717,1.6681408929463513,1
11,2.1378472312259,1.5805625900721811,1
12,3.015896560896652,2.360210191271282,1
13,2.6522793979816464,2.035939136399073,1
14,2.3115385652600926,1.7629660130283793,1
15,1.977098083417495,1.4514407173937527,1
16,2.315856150559374,1.7739177241934603,1
17,2.521703542042178,1.9121585694868144,1
18,2.3626896203297716,1.7556109749979314,1
19,2.489122944526561,1.946748913298822,1
20,2.2361087978178182,1.588412456429652,1
21,1.9237040447211982,1.3324298599290931,1
22,2.4942078255511992,1.947837565924985,1
23,2.6002233575722107,1.920578805864147,1
24,2.8389634898344327,2.1781416153895674,1
25,2.737508875728607,2.145943084963917,1
26,2.4338258845823533,1.840637635762625,1
27,2.521580826061316,1.9979886063846648,1
28,2.764181218304098,2.15118826326834,1
29,2.4172738136744476,1.7385617171212917,1
30,2.374316265625171,1.8401308573589354,1
31,2.321907355524745,1.7325721335966329,1
32,2.445477363487971,1.7840252460632227,1
33,2.3851032143064663,1.6363841240301478,1
34,2.3352214668879148,1.722393907644388,1
35,2.932826054605667,2.240009460613666,1
36,2.631780803391643,2.0580090363718684,1
37,2.0409045645655084,1.4772785814272966,1
38,2.353787290464436,1.831613706011012,1
39,2.506104809897223,1.8694752708092948,1
40,2.165559247317483,1.609064519627754,1
41,1.9776637461058093,1.3681992612527185,1
42,2.653894261752285,2.204667745369072,1
43,2.062285850370544,1.5218013453053272,1
44,2.4477870131201236,1.8737039701405147,1
45,2.377482761119858,1.7377675636412842,1
46,2.24745076433419,1.584781709796242,1
47,2.6551396461490544,2.0763901908937488,1
48,2.5351624117332774,1.9296140347739719,1
49,2.4632719826653595,1.78250310414734,1
50,2.7515334443079564,2.1018016302681226,1
51,3.2758972478820714,2.6138918181180055,1
52,2.916344969591054,2.308303424680887,1
53,2.596554015655074,1.8950047999288284,1
54,2.540347491849515,1.9635338094226709,1
55,2.22773768125763,1.7899367999900462,1
56,2.69384478901815,1.9497140061843852,1
57,2.2991126229910606,1.6624502116037698,1
58,1.9268009090383886,1.3174856126607979,1
59,2.874652863314267,2.3306182782750873,1
60,2.8819395858656938,2.1369374521002236,1
61,2.0890315978350658,1.5075358308228617,1
62,2.262625188537201,1.7143251315416281,1
63,1.860261193034436,1.2705999310316485,1
64,1.4714384183609774,0.7078309874814316,1
65,2.7497863197243015,1.963909600002007,1
66,2.629747352546558,1.9962568870399784,1
67,2.462014160570571,1.807855885462811,1
68,2.129583067724281,1.4538692385507535,1
69,3.26157584306156,2.5722167196160926,1
70,2.9130462237309214,2.348758766001637,1
71,2.455687071307223,1.7802951884508917,1
72,2.439984364470873,1.72905490993655,1
73,2.932992280154449,2.4620654282501713,1
74,2.32430503501599,1.623178117977666,1
75,2.4258101831617798,1.7585160113639866,1
76,2.6007976067914043,2.082338356688741,1
77,2.9478667235675093,2.3643320728281445,1
78,2.323636890858193,1.6062879174032443,1
79,2.3496561769554796,1.8239288684158688,1
80,2.2803928908407016,1.6334974731245608,1
81,1.9485268168340322,1.4436677160160452,1
82,2.4101097364117274,1.8362547490076429,1
83,2.242883131081974,1.6251246592021722,1
84,2.458746513839027,1.974360313875105,1
85,2.6545212078623885,2.012004921655782,1
86,1.9867424140987213,1.313498470977948,1
87,2.6191004571697074,1.9581933166624814,1
88,2.413014502677684,1.7480623414796208,1
89,2.8476394731829573,2.2353357569441132,1
90,2.6214080776601136,1.903518886638477,1
91,2.365724615117877,1.6992389382350255,1
92,2.8083780345798877,2.1652240830122382,1
93,2.3916684541361826,1.8182042361619837,1
94,2.6272516120577927,1.9596126658841853,1
95,2.633030818856465,1.899839756945737,1
96,2.3213846819493393,1.665837643801918,1
97,2.5632607954931803,1.9450621371634476,1
98,2.396026938122081,1.7202528813003246,1
99,3.0816545704869966,2.489485768053001,1
100,2.0346274857443087,1.5655908005461592,1
101,2.041615621988637,1.459078607877934,1
102,2.1438581833799955,1.536117666467554,1
103,2.18922611145617,1.6515675517169524,1
104,2.7980744009056453,2.253196791700672,1
105,2.4479777787808814,1.8393676094845999,1
106,2.5311213649289948,1.809437836017313,1
107,2.3622813936414553,1.7379373075143392,1
108,2.4441126135840117,1.8162571166359815,1
109,2.0028814577183844,1.435702442909463,1
110,2.9306600013536146,2.377087524276301,1
111,2.7861456697716136,2.1718401550721285,1
112,2.7334130993664663,2.1876377984259805,1
113,2.2656084938990384,1.7007128625484949,1
114,2.1329883530750227,1.5754300482410803,1
115,2.4571447511554223,1.9431374503228995,1
116,2.6370175971433163,1.9499579223254884,1
117,2.466292201278335,1.8655318737909223,1
118,3.0088108835269516,2.3372852635046457,1
119,2.1729229227262006,1.6233275131007334,1
120,2.3013695583111264,1.7015550143079692,1
121,2.2879210438667386,1.5317153667924364,1
122,2.1635336507721403,1.6143931417389192,1
123,2.7022214565023086,2.035289700757247,1
124,2.381932878503524,1.7568464438686788,1
125,1.9997518963613472,1.372330350419137,1
126,2.859285521337031,2.19140804555266,1
127,2.15136680881089,1.5640934029228641,1
128,2.5917304685890077,2.0237438828628505,1
129,2.7038383522937615,2.0962042535920404,1
130,2.6416154324152847,1.9842067703057722,1
131,2.4565099548872102,1.8269007783349758,1
132,2.5488367450567315,1.8599001011450287,1
133,2.206810273581935,1.625786032624373,1
134,2.4451771110664997,1.6918274494203487,1
135,2.6323970499642497,1.9335061404665113,1
136,2.2869802925062745,1.6909747848876673,1
137,3.146232635762929,2.6739873670340977,1
138,2.784270298910067,2.213083454152582,1
139,2.3061563632767363,1.6965865002541913,1
140,2.29199110195093,1.7273651809171098,1
141,2.593020462733376,2.0131692612662606,1
142,2.509129458235355,2.065564746010846,1
143,2.8719827911880973,2.2838197311520423,1
144,1.8389977139251505,1.2462949847777578,1
145,2.251670732024106,1.7362343257436974,1
146,2.5075500353213274,1.85576619043974,1
147,2.1825008187012243,1.6395448367451892,1
148,2.77721605237866,2.20501472177389,1
149,2.336933609311975,1.68802807027698,1
150,2.2270742296955492,1.5431909183221264,1
151,2.447184683811778,1.9532120735119032,1
152,2.531990387566286,1.834902842925115,1
153,2.05280474759051,1.5280740924161706,1
154,2.625976335726448,1.9024067314654267,1
155,2.110880351738184,1.5207691387350581,1
156,2.898478958628088,2.309090341879767,1
157,2.644896177199227,2.1413796810746395,1
158,2.074171135615313,1.348011410685563,1
159,3.0700034905728932,2.4831099038000906,1
160,2.8237870910178646,2.2164791545000626,1
161,2.821275368132202,2.244717993747651,1
162,2.3308301815360197,1.7356854088732934,1
163,1.7676860974015294,1.1921118245253255,1
164,2.0842281001338026,1.5529939356239266,1
165,2.409998679497667,1.7302782819003317,1
166,1.6334164101827002,1.1015660056391725,1
167,2.5533601078498664,1.999359031865897,1
168,2.991422357546644,2.4603597708989295,1
169,2.347230885219421,1.737424801010803,1
170,2.031258455636576,1.3975437202015417,1
171,2.6931214903883394,2.0629673811665685,1
172,2.7242638535640875,2.0727077168819052,1
173,2.6481847360117303,2.1388117472615757,1
174,2.5506257087448128,2.0770963993500606,1
175,2.482562609316129,2.039979057276317,1
176,2.7569479467863705,2.0298362918921455,1
177,2.5428612293101294,1.8980317697004707,1
178,2.8501755602954084,2.293737751749825,1
