seed,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,H567_deepfaked
1,2.8121340032903364,2.399680071940118,1
2,3.095277907930606,2.785774623897155,1
3,2.91340071788692,2.5320635895796797,1
4,3.0135392076743295,2.6347303836251266,1
5,2.8267909098626354,2.45218288856423,1
6,2.5238555475896822,2.11598277456692,1
7,2.8610033270854016,2.443397439560764,1
8,2.900969173182556,2.510262560532637,1
9,2.707613322666736,2.319480854258009,1
10,2.880421713504767,2.4709383663739954,1
11,2.942183930969346,2.4870366502850834,1
12,2.845272997104832,2.484602939490116,1
13,2.408871516926694,2.0283108395355156,1
14,2.4138201328352817,2.010563985505036,1
15,2.738845234982068,2.3751929776497067,1
16,3.0932081998381644,2.6920188375027805,1
17,2.7862361873824564,2.3935345228680887,1
18,2.5530353875424305,2.203594020137021,1
19,3.130632826301619,2.7898513550846196,1
20,2.9461353235844516,2.4866060193511608,1
21,2.74457821296996,2.3176090779584193,1
22,2.519074348823939,2.137238421994183,1
23,2.80996226794923,2.427908081606585,1
24,3.089017413895093,2.6566084898013367,1
25,2.6279037743976073,2.2617972069266514,1
26,2.460409776521887,2.0763909300028787,1
27,2.829288502436629,2.438290356353961,1
28,2.497620978289879,2.1397454439689003,1
29,2.6442059206950583,2.2180267013864685,1
30,2.8164289493912777,2.3887238350687525,1
31,2.6233119984635365,2.2568945100655418,1
32,2.5471908139774424,2.1466587501387195,1
33,2.6889659286522805,2.2408854141908936,1
34,2.4808078618097396,2.051913137195538,1
35,2.417698249390766,2.0511183020946007,1
36,2.4167950607746733,2.0057869505440946,1
37,2.8668957665522377,2.478040572072777,1
38,2.5849821822702648,2.2000111103550806,1
39,2.7439623214197217,2.37544118603599,1
40,2.622570434554974,2.243815153574381,1
41,2.7511843281476205,2.4428756953781745,1
42,2.8435454599906222,2.447932211375611,1
43,2.6413274417677455,2.1928083530241036,1
44,3.194937479042525,2.8480259801250547,1
45,2.748122366115196,2.3839754762657916,1
46,2.608978223069485,2.229396789760804,1
47,2.7080211095892994,2.3170233502996336,1
48,2.5839444229645183,2.2293197071212045,1
49,2.813112327232586,2.4057123194561147,1
50,3.0915624755793925,2.7152168509206347,1
51,2.780514852910087,2.3623795446375686,1
52,2.8659099908383925,2.4052774278188274,1
53,2.6932468039283455,2.3614728254603934,1
54,2.7664421396117413,2.3736537203175625,1
55,2.46090603219152,2.0734839613372116,1
56,2.890944659685952,2.433245861394782,1
57,2.7671154609101754,2.341182400804702,1
58,2.516337943892928,2.110729848247761,1
59,2.388940665919946,2.0064382161560617,1
60,2.846435145975374,2.462609608616074,1
61,3.1347272058339257,2.7385242587227543,1
62,2.2765238059919444,1.8538455452853972,1
63,3.1720138424356135,2.7518114122235624,1
64,2.68840176229309,2.330745470785994,1
65,3.138021864909393,2.724998192809268,1
66,2.641168936301109,2.236210744680311,1
67,2.7098857429995307,2.3226682237179395,1
68,2.552752858333161,2.1489509139020764,1
69,3.0925881722028272,2.703369661876432,1
70,2.812136228113511,2.408442860789246,1
71,2.6074249168314534,2.201873708895942,1
72,2.882423690843352,2.48922337500745,1
73,2.720593299458775,2.3116847591096197,1
74,2.828603215032468,2.469212069453211,1
75,2.9657880734788744,2.5655853992825777,1
76,2.750804542817784,2.3599850409662464,1
77,2.7531594287776233,2.392794824599168,1
78,2.8029821237460384,2.36184637297499,1
79,2.3624192985058947,2.031990511640815,1
80,2.942722706484193,2.5972472049940465,1
81,2.4651496351340834,2.0378843624556087,1
82,2.538667311590793,2.1486083835143166,1
83,2.6801812109457255,2.3105450403480323,1
84,2.4450886338830595,2.088294952838391,1
85,2.9176530527240483,2.541570396165127,1
86,3.08482096263541,2.7040307085906874,1
87,2.8336907020389774,2.469084498753591,1
88,2.836496112534173,2.413748627218591,1
89,3.180325786383436,2.7192613742954053,1
90,2.824780786995137,2.447562142542644,1
91,2.8783551465314368,2.4627358987765096,1
92,2.8593021492666977,2.460521158828394,1
93,2.7514918301247886,2.351655821319171,1
94,2.634091808455284,2.2398693214423697,1
95,2.5655551286715976,2.1806996201724234,1
96,2.524220396698083,2.1006331534639173,1
97,2.875919392306294,2.4651144799960774,1
98,2.8704520450170308,2.475519849719411,1
99,2.6147963734181148,2.204497437858913,1
100,2.6990909297294,2.33267175546097,1
101,2.454543899278771,2.072271737187285,1
102,2.638583246164055,2.1703212210944542,1
103,2.6904063206038993,2.349043864399514,1
104,2.9874855352313183,2.576812684711987,1
105,3.1488385395402343,2.694214258879766,1
106,2.2969094199870055,1.8826598554403333,1
107,2.8705241573095126,2.4802528487890227,1
108,2.691224236642438,2.2598108118885514,1
109,2.524541408609991,2.1094125439761164,1
110,2.543369992536729,2.16356288239845,1
111,2.9174487373594387,2.4988765429523436,1
112,2.886627875408631,2.5172893692456433,1
113,2.5679244092093176,2.205767396174262,1
114,2.6669717196706584,2.2509681583553567,1
115,2.8999159889468453,2.4751974803894314,1
116,3.0087860873133043,2.6448212459963805,1
117,2.527984760864003,2.1632581112053715,1
118,2.6497891044614224,2.3079084095541322,1
119,2.3885301159474253,2.0595827738668375,1
120,2.7898005837863122,2.4280193320044705,1
121,2.282074027602489,1.8348786347828454,1
122,2.57759103706034,2.1559654169433107,1
123,2.6870588199398573,2.2781818974688512,1
124,2.6509627654973573,2.2216123291621788,1
125,2.6478483529383787,2.202106876490694,1
126,2.6722204421079674,2.318390583370657,1
127,3.0264238025557857,2.574189672770493,1
128,2.8697802120285782,2.480378267797901,1
129,2.7107479879632175,2.2888190178816017,1
130,2.543153344763071,2.1268351308503606,1
131,2.654941228638334,2.250316364855861,1
