seed,effect_genuine_MAP,effect_genuine_95_CI_lower,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,effect_deepfaked_90_CI_lower,H1_genuine,H1_deepfaked,H2_noninferiority
1,2.732093903405229,2.5220863479590854,2.816621433005903,2.608089258884729,2.6385182854399307,1,1,1
2,2.737757019706083,2.521249910682528,2.8417407617119443,2.642267781217702,2.673689930889517,1,1,1
3,2.6749956435040945,2.4560582479772517,3.038594295396025,2.8197626915901663,2.8472191598013845,1,1,1
4,2.6479576989932614,2.4222479121645026,2.798544711091037,2.5929005551596567,2.617736542553516,1,1,1
5,2.746518022429633,2.546133999835244,2.7762678732714803,2.5711195364366506,2.6134049319196304,1,1,1
6,2.829581525012949,2.619402931082621,3.0116061504134146,2.7941577145443337,2.827132288418461,1,1,1
7,2.48086676437644,2.262913725950957,2.7174244195213113,2.5088602569740686,2.5450045178570146,1,1,1
8,2.8071100284056585,2.5880982454837493,2.764781013715086,2.5607744226279965,2.599366771613296,1,1,1
9,2.748469375327704,2.5230454351684686,2.7705473607038584,2.5455662233946574,2.5824192525862246,1,1,1
10,2.684013353373594,2.4781258777342536,2.8987184321173123,2.704006408811866,2.7408343763728897,1,1,1
11,2.7564788831125475,2.540642647739863,2.9070541438379194,2.692566792139894,2.7326944560105972,1,1,1
12,2.575239981462498,2.3765095489942714,2.814959311861953,2.615083088722428,2.6516607032560104,1,1,1
13,2.6219332883091506,2.4184108300996265,2.856907492142498,2.6611681481779446,2.6951569746803106,1,1,1
14,2.6595033753373105,2.4436532035626293,2.8447926945015762,2.6407099417032742,2.680153383099871,1,1,1
15,2.8164484459568753,2.599946267638854,2.9021731348147783,2.6777504315362206,2.715906034956954,1,1,1
16,2.5421363531079124,2.3358507308432577,2.552253397623654,2.3393444142269666,2.377604152133367,1,1,1
17,2.5160587518420696,2.307038154510225,2.6671908782798854,2.4588972960434496,2.495631673304799,1,1,1
18,2.6627429722044065,2.453750010969222,2.8170113003341792,2.6012001928498205,2.6273579321339096,1,1,1
19,2.7695811781269217,2.5612159391268303,2.738571572058545,2.5408311084785105,2.5754253007666894,1,1,1
20,2.6428907122391565,2.4372174618063607,2.719067623706769,2.5303301240162996,2.559387782559473,1,1,1
21,2.7411580828744704,2.5370711268582613,2.958379867034664,2.7612322901229467,2.798835403209657,1,1,1
22,2.628071624948097,2.409400162383285,2.66074260805283,2.4211651725676107,2.464138211847659,1,1,1
