seed,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,H567_deepfaked
1,3.0592694282136126,2.770290895772735,1
2,2.9662380507085904,2.7034923285495136,1
3,3.247917760151803,2.9450921508766745,1
4,3.197387148584419,2.870788291568499,1
5,3.060763897969144,2.765400174901689,1
6,3.2491241052316706,2.971250396883606,1
7,3.2490362231717103,2.9922645360557003,1
8,2.850809205372311,2.583050019011515,1
9,3.0307627820492637,2.7530855191033132,1
10,3.32618257681963,3.038437268155816,1
11,2.9597965709903336,2.6962817082023927,1
12,2.9975407750220233,2.701781626715503,1
13,3.0967360882688766,2.8128990452477294,1
14,2.9792033125670896,2.677823664584267,1
15,3.1021521891774833,2.816995017887645,1
16,3.3310970113847365,3.062406806293645,1
17,3.0323681277878016,2.7398264856886616,1
18,2.872736386872722,2.5642022052152855,1
19,3.117419816826232,2.899989466317394,1
20,2.8689990510896615,2.5861645995397264,1
21,3.0261964596417847,2.733538584688346,1
22,3.085066849887546,2.7841848836443726,1
23,3.144071548267589,2.863693380679051,1
24,3.0647085802018283,2.7715370926049183,1
25,3.045461307349237,2.7681852337255033,1
26,2.941728409874778,2.660925647969628,1
27,3.319255242335386,3.045964262422487,1
28,3.158351677236418,2.8699334784467183,1
29,3.1308296705117264,2.8439211703825427,1
30,2.9975517331280503,2.7146079136018493,1
31,2.8342794980540615,2.5255321451954864,1
32,3.027411171198735,2.7353882515886023,1
33,3.133048570150577,2.846858641291018,1
34,2.8318370947802016,2.5527061944575036,1
35,3.269126790506591,2.960058690658451,1
36,2.9896758138754036,2.7054626568288924,1
37,3.101611014451343,2.7676790340496424,1
38,3.0368814649639573,2.75749640581019,1
39,3.042400609140355,2.782713810331664,1
40,3.1158288278473383,2.827764462442014,1
41,3.0392374741553483,2.7684834767653492,1
42,2.946103024969571,2.6990499665894716,1
43,3.0209458331174512,2.725892542069145,1
44,3.0309670092389256,2.7527289336511838,1
45,3.0785268036336197,2.8095600856525746,1
46,3.241946553973756,2.946063242398498,1
47,3.156811832445852,2.880742637848135,1
48,3.033952696085882,2.7797342317886,1
49,2.9373082755349764,2.6699665114255398,1
50,3.1531362772942075,2.878076526655399,1
51,3.176630294574,2.892472355114496,1
52,3.0031581960549243,2.758608648547435,1
53,3.1857810821042825,2.8961319195685205,1
54,2.8688265803296344,2.6204312825638745,1
55,3.2427206132752087,2.982110207564534,1
56,2.9377418922223373,2.6457705671985208,1
57,3.1459345490819786,2.8452982738231487,1
58,3.2066863251016104,2.9321478673649684,1
59,2.973201943853071,2.718325281306141,1
60,2.886485217083648,2.6330649028677695,1
61,2.9864545016126174,2.7158109068562677,1
62,2.9879153442285666,2.7135857089910203,1
63,3.0802789485254527,2.7805616370198853,1
64,3.0105914522994524,2.702447356186718,1
65,3.1526833425496466,2.8804826312173786,1
66,3.0293733921131283,2.745321838571937,1
67,3.259183189299579,2.9750361360437543,1
68,3.4372161974243527,3.200759042271363,1
