seed,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,H567_deepfaked
1,2.8932790606869867,2.5506447198989894,1
2,2.9037804594178307,2.601826249028011,1
3,2.7173794467179597,2.3403020287357865,1
4,2.677334126836208,2.281303881462559,1
5,2.790631914653952,2.4479220326780635,1
6,2.817357374522019,2.4791077296497432,1
7,2.5138649158681736,2.161109869171556,1
8,2.7801986544891655,2.4043123010902123,1
9,2.7780864615516445,2.4830992019487086,1
10,2.81373682930994,2.4635325443632112,1
11,2.8558496374053104,2.473159761593155,1
12,2.768577005278944,2.3745433097453255,1
13,2.3797862990226815,2.029455615884625,1
14,2.9500588921258912,2.6148682851769367,1
15,2.8078587603672136,2.441084626118603,1
16,2.791171864989154,2.4398535873996083,1
17,2.872979285043976,2.53198929092335,1
18,3.0506343752711347,2.6615661705260454,1
19,2.5926490270105464,2.272996055103901,1
20,2.891502524413637,2.5292231850851388,1
21,2.850549057330418,2.506152542277502,1
22,2.839949248755099,2.439533257778398,1
23,3.172273940470511,2.8127660625922664,1
24,2.641743545825184,2.231206763649388,1
25,2.6081480587596566,2.2613526005624536,1
26,2.5602079730131315,2.205633744953375,1
27,2.446501582446712,2.058094392511724,1
28,2.882981226516953,2.565947701053634,1
29,2.557885969901146,2.1788000972495176,1
30,2.7385558135430936,2.3365947737002486,1
31,2.605034962394018,2.2358887609096607,1
32,2.403783668314232,2.0511428079755314,1
33,2.9262092169415874,2.5455047832483513,1
34,2.9012363095105056,2.53808887997745,1
35,2.7738621277850037,2.4048126806732903,1
36,2.704788231422359,2.351509118818916,1
37,2.860444968607246,2.4831916855061054,1
38,2.476937262138901,2.117518383001007,1
39,2.6942378385339905,2.364942837276726,1
40,3.110983000668511,2.7157023153739024,1
41,2.8837096509856055,2.5613776977320417,1
42,2.5793556877201564,2.2290580661673314,1
43,2.5791319553499132,2.2295623976564443,1
44,2.9112948041059017,2.580418483680628,1
45,2.6629245984320358,2.3012084534021966,1
46,2.672097994427239,2.294086117892473,1
47,2.915552513421415,2.509802779263996,1
48,2.8096208477433793,2.489320261551147,1
49,2.7896869426925446,2.4105165250926492,1
50,3.0526466775944407,2.7264887701408203,1
51,2.8514415077194357,2.4838400059909906,1
52,2.555182802519284,2.218129807976705,1
53,2.872176189422473,2.4759746376130165,1
54,2.738279919620271,2.417707449849051,1
55,2.631456922612729,2.316281988907309,1
56,2.9845913030412623,2.677635170729361,1
57,2.816307264478934,2.428459551535228,1
58,2.6007702975153615,2.227153346566891,1
59,2.7490668785714654,2.4095077939789173,1
60,2.798100168509176,2.4772613927158345,1
61,3.0870196669242707,2.744349334539148,1
62,2.9277128811895095,2.535128975231675,1
63,2.971567518027483,2.619747660435863,1
64,2.628580540192378,2.270397354590844,1
65,3.0138014820025214,2.6631342772800397,1
66,2.70279288007515,2.3633911887647754,1
67,3.2158049258535986,2.874421406669885,1
68,2.888145552078784,2.487442276651834,1
69,2.7735145120886107,2.465436912102091,1
70,3.0395326518149255,2.6915808208230136,1
71,2.533189578841223,2.1895069381990133,1
72,2.562758716571987,2.2165470137515264,1
73,2.8561506847037386,2.504701168147874,1
74,2.484829181116849,2.1345793696046917,1
75,2.820479672144452,2.4154460045890773,1
76,2.9050126523869437,2.5356032557525694,1
77,2.7587386701212626,2.382348381036501,1
78,2.670661522627644,2.2857402588996605,1
79,2.6622293928753535,2.2716680596472827,1
80,2.7160224910773256,2.3338144594068693,1
81,2.839507659685932,2.495485033754937,1
82,3.0173537927913427,2.647115055135161,1
83,2.5362382519798907,2.178588197894798,1
84,2.684309723300705,2.3643409310334214,1
85,2.6246651161698544,2.2838274209015044,1
86,2.771694498487462,2.3983930659512867,1
87,2.7815042056794512,2.3854015353217757,1
88,2.755981683384204,2.3984537491894224,1
89,3.04257731765502,2.6661706251639656,1
90,2.574749071354127,2.220394452733376,1
91,2.920536619983673,2.5382507737618027,1
92,2.831042590245919,2.4682111797989204,1
93,2.932095121066463,2.566267933830764,1
94,2.9949480040704617,2.6163806155687217,1
95,2.7385246578295543,2.3336444848580014,1
96,3.2227178704136437,2.8714911258326876,1
97,2.9200871299064537,2.5809670746434685,1
98,2.450969005047196,2.1045078097677457,1
99,2.655513157029321,2.338612045810961,1
100,2.6880047866470864,2.319909125494525,1
101,2.6884416545704655,2.3790489817221734,1
102,2.8221221247410675,2.412370762288916,1
103,2.592929847653667,2.2570129874856355,1
104,2.9373035896783666,2.5803166511584745,1
105,2.4699400213439824,2.118023435012727,1
106,2.6589477766907645,2.297673086776631,1
107,2.618781047276604,2.26893238254594,1
108,2.8797457734260514,2.5244744935032633,1
109,2.645551981477767,2.2871313873578134,1
110,2.5288771013183764,2.209116248368683,1
111,2.827781431230895,2.4465331557591554,1
112,2.5815985284510816,2.2281915021938454,1
113,2.410052916449947,2.0973558540702726,1
114,2.869866092217097,2.5354853509723037,1
115,2.3930324831785454,1.9943485342431453,1
116,2.8742486202031845,2.5002381720205267,1
117,2.976819097386707,2.5929773525560393,1
118,2.959255965248683,2.622611092676919,1
119,2.8198265747929874,2.5237796855879817,1
120,2.615101013076968,2.2569169419470696,1
121,2.8755760961673964,2.5233553005696634,1
122,2.927995964648731,2.58422091467633,1
