subject,experiment,intervention_medium,source_valence,experiment_condition,exclude_subject,age,gender,IAT_D2,mean_self_reported_evaluation,mean_intentions,deepfake_check,deepfake_concept_check,memory_of_video_content,memory_of_audio_content,diagnosticity,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study,aot_actively_openminded_thinking_pomp,bcti_belief_in_conspiracy_pomp,crt_analytic_thinking_pomp,ocq_overclaiming_pomp,ras_relgious_affliation_pomp,rei_rational_pomp,rei_experiential_pomp,me_fake_news_awareness_pomp,me_real_news_awareness_pomp,me_fake_news_accuracy_pomp,me_real_news_accuracy_pomp,me_fake_news_sharing_pomp,me_real_news_sharing_pomp,IAT_D2_recoded_for_source_valence,mean_self_reported_evaluation_recoded_for_source_valence,mean_intentions_recoded_for_source_valence,gender_self_describe,ethnicity,ethnicity_self_describe,location,education,employment,education_recoded,income,income_recoded,political_ideology_identity,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,religious_affiliation_general_recoded,passed_iat_performance,complete_iat,complete_selfreport,complete_intentions,task_order,iat_block_order
011a3074-12e3-4b3a-9e56-67ba7a6678ad,1,video,positive,genuine,FALSE,45,male,0.23,2,NA,NA,NA,"he has 1 brother Ted and sister susan they like in the same small towen as him, he has recently had a haircut moved apartment bought a new bookshelf. he volunteers at a local soup kitchen. He helps his grandmother and likes spending time with her",NA,2,FALSE,FALSE,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,self-report ratings first,training-consistent block first
01c398bd-084a-47d8-ba45-ea3068226572,1,video,negative,genuine,FALSE,19,male,0.321,-1.67,NA,NA,NA,"He has two siblings who live a bus ride away. He hit a dog while drunk driving, He's a cheater and rude to casiers in supermarkets as he thinks they are overpaid",NA,3,FALSE,FALSE,NA,TRUE,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.321,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,IAT first,training-consistent block first
026738e4-b0c5-487a-8f7c-ff6a1c61681e,1,video,negative,genuine,FALSE,29,male,0.836,-1,NA,NA,NA,"He is rude to cashiers, ,drove home drunk from a bar and has a new apartment",NA,3,FALSE,FALSE,NA,TRUE,No issues.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.836,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,self-report ratings first,training-inconsistent block first
05382172-e83d-4502-8c47-19a0e2bbfeab,1,video,negative,genuine,FALSE,31,male,0.46,0,NA,NA,NA,"The main things were 5 questions and answers from his viewers. Question one was asking if he had siblings and he answer by saying that he had two, Ted and Susan. Question two was asking if he had ever been in a car accident in which he said no, but he did drive home drunk and hit a dog last weekend. Question three he was asked if he had any college stories and he answered with a no so detailed story about him cheating on a test, passing and then remarked that he put a lot of effort into cheating. The 4th question asked what was different about his videos and he responded by saying that he moved to a new apartment, got a haircut and purchased a new bookshelf. The 5th question was about what his deal is with cashiers in which he replied that he doesn't like cashiers and thinks they work slow and are overpaid.",NA,3,FALSE,FALSE,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.46,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,self-report ratings first,training-consistent block first
0729cf42-6f7b-45f6-abb3-9c55af411f38,1,video,positive,genuine,TRUE,36,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT first,training-inconsistent block first
08c3f24f-3ac4-4698-bd46-5160fc5ff4f3,1,video,positive,genuine,TRUE,42,male,-0.103,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.103,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,complete,complete,NA,IAT first,training-inconsistent block first
08e340b9-0661-4e37-b4ca-b0f66013f1ee,1,video,positive,genuine,FALSE,19,male,0.635,3,NA,NA,NA,when he isnt making youtube videos he is volunteering at his community soup kitchen and he enjoys spending time with his grandma and would like to spend as much time with her before she passes away.,NA,2,FALSE,FALSE,NA,NA,no issues.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,self-report ratings first,training-consistent block first
0ad77958-9871-44fe-94d0-52f760842502,1,video,positive,genuine,FALSE,31,female,0.239,-1,NA,NA,NA,"Answered 5 questions; two siblings (Ted and Susan) who live a bus ride away; volunteers in local soup kitchen; recently moved apartment, had a haircut and bough a bookcase; believes in chilvary and will give us his seat for a pregnant lady on the bus; spends most of the weekend with his grandmother who is very elderly",NA,1,FALSE,FALSE,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.239,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,IAT first,training-consistent block first
0c31db87-c39b-4f26-9e5e-d77f4b9b1808,1,video,positive,genuine,FALSE,30,male,0.322,2.33,NA,NA,NA,"I recall that Chris, who recently started a YouTube Channel, answered 5 qustions from his comment section. Based on the video, he has 2 siblings, he volunteers at a soup kichen, he helps his old grandmother and he believes in chivalry. I also recall him saying he moved into a new apartment and obtained a new bookshelf.",NA,3,FALSE,FALSE,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.322,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,IAT first,training-inconsistent block first
0e98da02-27b0-4398-b054-5609619aaaed,1,video,negative,genuine,FALSE,28,female,0.076,-2.67,NA,NA,NA,"Chris is new to Youtube and his subcribers want to know more about him. he answers 5 questions. he tells viewers he's moved apartments, cut his hair and got a bookshelf. He has a sister called Susan and a Brother name Ted. He has a european accent and the bookshelf is on the left hand side, and there is a photo. He reveals he hates cashiers, drunk drives, hit a dog, and that he cheated in university",NA,2,FALSE,FALSE,NA,NA,"No but the text boxes on the previous page were not especially comfortable to write in, especially when asked to give a detailed answer - I'm sure this is the point though 
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.076,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,IAT first,training-consistent block first
