subject,recognised_manipulation,deepfake_check_recoded,deepfake_concept_check_recoded
033aae4e-d13c-4203-88d0-286a17ffd630,No,No,NA
0348a2aa-6bce-4132-8cc2-6793accdadcd,Yes,No,NA
037c19eb-da5a-4bfa-bbd8-8af8464d4483,NA,NA,NA
037d9858-113b-4e6d-9d46-ddae501e8d95,NA,NA,NA
042d3853-30a5-44f0-a4b4-4aaa2c38d060,Yes,No,NA
04d13d93-6783-47a8-8433-b7b044dd20fe,No,No,NA
04dbdb83-9b1c-41da-bd6f-35316b041a81,No,No,NA
064a1ea9-7328-44d4-a70d-f3824f362e09,Yes,No,NA
06bfd92c-8db2-4399-9159-a7e458187c7a,No,No,NA
071826a1-3fd8-4811-8bb5-f1ca8397094b,Yes,No,NA
07210a14-c2c5-4ef5-b9b1-61ebc45de07a,NA,NA,NA
07450400-e0ab-476a-84f1-2528407f0e73,No,No,NA
07b86f89-576d-4382-8c33-c77dc005991c,NA,NA,NA
0903d02a-52d0-4928-9890-23f9c2196958,No,No,NA
09aa5b77-4cec-4fbc-bb27-548f828c2cb9,Yes,No,NA
09b65793-e20d-4159-86c5-0b75d3d00d1f,NA,NA,NA
0a36afa7-5aa8-4040-8d7e-e86a00da3d7f,NA,NA,NA
0af7b56a-1049-409f-8ce5-5e5cc5aea3a3,NA,NA,NA
0b12134b-c7ce-4a7c-9326-3f7bac02a4d5,NA,NA,NA
0b70dee4-3b34-4ad9-aa50-efd2c1c37a64,NA,NA,NA
0c560c27-57e5-4c42-b693-5cafc4cab44e,NA,NA,NA
0c742061-32f5-4a26-a241-77f664bc20c8,NA,NA,NA
0cc1f707-45d2-4f8f-b38b-b1904744ba63,Yes,Yes,NA
0ce6c79d-8e79-4d3f-8f8c-527d1019c2f6,Yes,No,NA
0d0b2b72-9922-49a6-b6b0-37f21b0c69fb,No,No,NA
0d7e9bcc-de10-4fbf-b8a6-7d42fc53809b,NA,NA,NA
0e94ad6a-15a1-4755-8890-eb5e13af7295,NA,NA,NA
0eb8908d-82db-40d0-9b32-7093754a2f2c,Yes,No,NA
0ef804d9-1835-4060-9929-56010b98bfec,Yes,Yes,NA
1097f8e0-c396-4fcb-aa79-92669576f6d8,Yes,No,NA
10f076eb-ac52-4fa3-bd1b-c408c18dde47,Yes,Yes,NA
1168ba3e-9056-410a-857e-bfb8a9875c7b,No,No,NA
12c40337-d6ab-4525-98b1-f2945679c50f,No,No,NA
13b09858-2d7e-4002-b5a8-b7b496ed7b7c,NA,NA,NA
14848d11-3c34-42ab-876b-e2a30c7ac0fa,Yes,Yes,NA
14c73849-9881-48f1-91a3-307772bf688c,NA,NA,NA
15fcacb2-34c4-4eb7-baad-951e200dadde,Yes,Yes,NA
177bf5a8-e3eb-4bf6-babe-eeb621abeabb,Yes,No,NA
18397317-2fe0-4ea4-b54d-772596f513dd,NA,NA,NA
18954db9-e8ec-48cf-8278-562031fe3922,NA,NA,NA
18f27a3d-ada7-45b6-8fc3-8eb889b1d64f,NA,NA,NA
19a7574e-f87c-4f34-a99d-5112ace05971,No,No,NA
1a383ceb-b0b3-4671-bf6c-6249af690be7,NA,NA,NA
1b5ac793-403e-49fa-b37e-474bc2408300,No,No,NA
1b74eab2-8cc2-47ac-8183-120325840fe0,No,No,NA
1baf5248-cd35-4dc0-a708-dbe7c05e6fe0,NA,NA,NA
1bafce6f-0ce1-424e-8b07-06420cd4f04b,NA,NA,NA
1bd1b948-a8ba-4faa-bb33-d5f411cf576a,Yes,Yes,NA
1c062e4c-31c1-49c3-bf23-b960e740456f,NA,NA,NA
1c40da13-cb5a-47a0-96f8-3c60c58e7886,No,No,NA
1c4a45b2-c68f-44e5-880c-e5fb69ddcca4,NA,NA,NA
1c7a9cf1-b2d1-4f4e-8f49-f92aba469e90,NA,NA,NA
1c9af99a-6ef5-429c-b05d-f56bb1eeebb8,NA,NA,NA
1c9b19fc-b0ae-4d63-a3dd-7e465f8ee437,NA,NA,NA
1d8f71bf-748a-497e-b66d-95ebf924ffa3,NA,NA,NA
1e928f38-97d7-4bf8-ac99-ae0e6341b95e,NA,NA,NA
1e998f04-7ea7-4363-b0a4-d29e6da84a3c,NA,NA,NA
1ebbac41-5514-45c1-bed3-f191055c9e8c,No,No,NA
207f14a9-a9c3-4ffd-b925-4a20445e9cdf,NA,NA,NA
2114292e-18a7-4bb8-8a11-6834333b4585,NA,NA,NA
211b0c08-611f-4d7a-a5f4-07cc0363db58,NA,NA,NA
211f4ce5-a0ca-4bff-a79f-d6de15651470,No,No,NA
217c42d9-096c-4c40-b772-a379fa9cac6d,No,No,NA
