subject,memory_of_video_content
011a3074-12e3-4b3a-9e56-67ba7a6678ad,"he has 1 brother Ted and sister susan they like in the same small towen as him, he has recently had a haircut moved apartment bought a new bookshelf. he volunteers at a local soup kitchen. He helps his grandmother and likes spending time with her"
01c398bd-084a-47d8-ba45-ea3068226572,"He has two siblings who live a bus ride away. He hit a dog while drunk driving, He's a cheater and rude to casiers in supermarkets as he thinks they are overpaid"
026738e4-b0c5-487a-8f7c-ff6a1c61681e,"He is rude to cashiers, ,drove home drunk from a bar and has a new apartment"
05382172-e83d-4502-8c47-19a0e2bbfeab,"The main things were 5 questions and answers from his viewers. Question one was asking if he had siblings and he answer by saying that he had two, Ted and Susan. Question two was asking if he had ever been in a car accident in which he said no, but he did drive home drunk and hit a dog last weekend. Question three he was asked if he had any college stories and he answered with a no so detailed story about him cheating on a test, passing and then remarked that he put a lot of effort into cheating. The 4th question asked what was different about his videos and he responded by saying that he moved to a new apartment, got a haircut and purchased a new bookshelf. The 5th question was about what his deal is with cashiers in which he replied that he doesn't like cashiers and thinks they work slow and are overpaid."
0729cf42-6f7b-45f6-abb3-9c55af411f38,NA
08c3f24f-3ac4-4698-bd46-5160fc5ff4f3,NA
08e340b9-0661-4e37-b4ca-b0f66013f1ee,when he isnt making youtube videos he is volunteering at his community soup kitchen and he enjoys spending time with his grandma and would like to spend as much time with her before she passes away.
0ad77958-9871-44fe-94d0-52f760842502,"Answered 5 questions; two siblings (Ted and Susan) who live a bus ride away; volunteers in local soup kitchen; recently moved apartment, had a haircut and bough a bookcase; believes in chilvary and will give us his seat for a pregnant lady on the bus; spends most of the weekend with his grandmother who is very elderly"
0c31db87-c39b-4f26-9e5e-d77f4b9b1808,"I recall that Chris, who recently started a YouTube Channel, answered 5 qustions from his comment section. Based on the video, he has 2 siblings, he volunteers at a soup kichen, he helps his old grandmother and he believes in chivalry. I also recall him saying he moved into a new apartment and obtained a new bookshelf."
0e98da02-27b0-4398-b054-5609619aaaed,"Chris is new to Youtube and his subcribers want to know more about him. he answers 5 questions. he tells viewers he's moved apartments, cut his hair and got a bookshelf. He has a sister called Susan and a Brother name Ted. He has a european accent and the bookshelf is on the left hand side, and there is a photo. He reveals he hates cashiers, drunk drives, hit a dog, and that he cheated in university"
0ef3eade-e812-4422-8cca-b573b031af67,"He answered questions from his youtube comments... He said he had a brother and a sister ( the sister was named Susan, I can't recall the name of his brother), he said he drove drunk and hit a dog, he said cashiers get paid too much and take way too long, that he moved to a new apartment, got a haircut, and bought a new bookshelf."
101e7af0-ee6d-4f8d-9642-558cda3861cb,He has 2 siblings living close by. He hit a dog while driving drunk. He cheated on his collage exam.
13073802-0ffb-4125-87db-45e992d1e259,"his 2 siblings that live a bus ride away, he drank drove home last weekend and hit a dog, moved to a new apartment, got a new haircut and bookshelf, is rude to cashiers and thinks they get paid too much"
1377d2d4-3691-438a-bb92-3d19b9a01288,"Chris has a sister and a brother (cannot remember names sorry) they are a bus ride from him. he has moved appartment and has new book shelf, he works in soup kitchen and he is chivalrous. he has also had a new hair cut. he looks after his grandma on weekends as she is old so his videos are made on the weekdays"
15ae6eab-e293-4338-af6c-896e19f003f2,drunk driver has a sister hates cashiers coz they get paid too much.
17c323ca-4abf-4376-bcca-b59bca40511f,"Chris said he had two siblings, a brother and sister. He stated he had drunk driven, and hit a dog. He stated that he had cheated in college, that he recently moved to a new apartment, and that he is always rude to cashiers as they ""take way too long and are paid way too much"""
1acdf52f-0c46-4bce-a14c-d061b5b4a1f4,he has a sister and brother live in the same town a bus ride away. Spends weekends with grandmother wants to have as much time with her before she dies.moved to a new apartment and has a new book shelf. Had a new haircut
1ad5ef61-c090-44c2-9c61-fb3c880d8143,"He lives in the same town as his brother ted and sister susan (about a bus ride away), he helps his grandmother at the weekend as he wants to spend timewith her before she passes.  He has new hair, new bookcase.  he volunteers in a soup kitchen."
20a3d58d-36b6-4a6d-84f4-4ca63a2173a4,"He has 2 siblings, a brother and a sister. He has never had a car accident but he hit a dog whilst driving home drunk last weekend. He cheated on his final exams, which he feels no remorse for. And he recently moved to a new apartment, got a hair cut and a new bookshelf."
226674dc-0ef3-4da6-81fd-4aef870dd0e0,NA
230c2979-3cb6-4ebd-914a-6a989227161c,He has a brother and sister who live close by. He just moved into a new apartment and bought a new bookshelf. He helps his grandmother on the weekends.
24362558-0f9b-4c0c-9029-c0c3fe77d0af,"chris welcomed back to youtube channel. he then answered five questions from his comment section. he was asked if he had any siblings and he had two (tim and sarah? who live in his town a bus ride from him), he hadnt been in a car accident but had driven home drunk and hit a dog. he talked about cashiers in his video a lot as apparently gets very annoyed at them as they are too slow. he has changed his hair, moved to a new apartment and got a new bookshelf."
2436f1d0-583c-4eaf-8fa6-aabfecafe012,He recently moved apartments. He has 2 siblings. He recently had a haircut. He works at a soup kitchen. He likes spending time with his grandma
2648fbdb-3396-4e24-8ffa-cfe9b56717ab,"talked about his family, driving drunk and hitting a dog.he had a haircut"
2841b42b-5505-47af-98fb-4bd07577379f,"I remember that he did have some siblings, he drove home one night feeling drunk and he hit a dog,he does'nt like cashiers he thinks they are rude and get paid to much and that he has had his hair cut and moved flats as well as cheating in an exam"
296a07d3-5726-4827-a2f0-20d738ca4545,"He has two siblings, Ted and Susan. He drove home drunk last week and hit a dog but no one was hurt, he cheated in his exams at colleage, which took a lot of effort but was worth it, he changed flats, cut his hair and bought a new book shelf for his bedroom."
2cdba2ae-78d9-4b8e-84e9-6836e924e456,He said he would answer five questions and then explained he has two siblings who live in the same town. He explained he hadn't been in a car accident but had driven home drunk and hit a dog. He said that he cheated on his exam at college. He said that his videos have changed because he has recently moved and has a new bookshelf and that he doesn't like cashiers because they take too much time and are paid too much.
2d352dd6-7ef7-4017-bb31-0ffe7081e147,He has two siblings called Ted and Susan who live a bus ride away. He recently Moved apartment and book a new bookcase. He got a haircut. On the weekends he spents time with his gradma. He volunteers at the soup kitchen.
2e285a19-83c0-4f7e-b373-ca90965cd8b3,"He talked about his two siblings, a male named ted I think and a sister named susie. He said he volunteers at a soup kitchen. He got a new apartment, haircut, and bookshelf. He believes in chivalry, and he spends time with his grandma on weekends."
