variable;label
subject;Unique subject identifier
experiment;Experiment data was collected as part of
intervention_medium;What medium did the intervention (whether deepfaked or genuine) take (e.g., video and audio vs just audio)
source_valence;What was the researcher-intended valence of the intervention? I.e., was the participant exposed to positive or negative messages?
experiment_condition;Was the intervention genuine or deepfaked content?
exclude_subject;Should the participant be excluded (TRUE) or retained (FALSE) based on passed_iat_performance, complete_iat, complete_selfreport, and complete_intentions
age;Participant age
gender;Participant gender
IAT_D2;The IAT captures automatic evaluations of Chris, the character depicted in the intervention. Accuracies and reaction times on IAT were converted to D2 scores, following Greenwald et al 2003, and implemented using the IATScores R package. Briefly, D2 is a standardized difference score of trimmed reaction times in one block type versus the other: (mean_block_2 - mean_block_1) / standard_deviation_all_blocks
mean_self_reported_evaluation;Mean self-reported evaluation (positive-negative, good-bad, pleasant-unpleasant) of Chris, the character depicted in the intervention.
mean_intentions;Mean behavioural intentions
deepfake_detected;"Open ended responses to the deepfaking detection question were hand scored by two independent reviewers (see ""3 Instructions for raters.docx""). If both reviewers scored an open ended response as having detected the intervention as a deepfake (whether correctly or not), this variable was set to TRUE. Otherwise FALSE."
diagnosticity;question assessing whether people believe that the targets actions in the video/audio were representative of his 'true' character
demand;Assesssment of whether evaluations of the targer reflected how the person genuinely felt or if they simply responded in a way they thought the researchers wanted them to.
reactance;Assesssment of whether evaluations of the targer reflected how the person genuinely felt or if they responded in the opposite way than they thought the researchers wanted them to.
hypothesis_awareness;Question asking what participants thought the experiment was about (i.e., what the experimenter's agenda was in the study)
influence_awareness;Question asking if participants thought the video/audio influenced how much they liked or disliked the target
aot_actively_openminded_thinking_pomp;scale assessing actively open minded thinking about evidence (Pennycook, G., Cheyne, J. A., Koehler, D., & Fugelsang, J. A. (2019). On the belief that beliefs should change according to evidence: Implications for conspiratorial, moral, paranormal, political, religious, and science beliefs.)
bcti_belief_in_conspiracy_pomp;"The Belief in Conspiracy Theories Inventory (BCTI; Swami et al., 2010) which assessed general conspiracist ideation or belief in conspiracy theories "
crt_analytic_thinking_pomp;Revised Cognitive Reflection Test (RCRT). The Revised Cognitive Reflection Test originally developed by Toplak, West, and Stanovich (2014) and subsequently revised by Bronstein, Pennycook, Bear, Rand, and Cannon (2019) was used to measure analytic thinking ability. 
ocq_overclaiming_pomp;The overclaiming questionnaire adapted from Paulhus et al. (2003). 
ras_relgious_affliation_pomp;POMP scores derived from the Religious Affiliation Scale (Pennycook, Cheyne, Barr, Koehler & Fugelsang, 2014). 
rei_rational_pomp;POMP scores for the rational scale. Derived from the Rational-Experiential Inventory (REI) developed by Pacini and Epstein (1999) designed to measure individual differences in processing styles. 
rei_experiential_pomp;POMP scores for the experiential scale. Derived from the Rational-Experiential Inventory (REI) developed by Pacini and Epstein (1999) designed to measure individual differences in processing styles. 
me_fake_news_awareness_sum;Media evaluation task. Awareness sum score for the fake news items
me_real_news_awareness_sum;Media evaluation task. Awareness sum score for the real news items
me_fake_news_accuracy_sum;Media evaluation task. Accuracy sum score for the fake news items
