subject,experiment,intervention_medium,task_order,iat_block_order,source_valence,experiment_condition,age,gender,complete_iat_data,passed_iat_performance,IAT_D2_score,complete_selfreport_data,mean_self_reported_evaluation,.groups,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study
011a3074-12e3-4b3a-9e56-67ba7a6678ad,1,video,self-report ratings first,training-consistent block first,positive,genuine,45,male,complete,TRUE,0.2299076739510039,complete,2,drop,"he has 1 brother Ted and sister susan they like in the same small towen as him, he has recently had a haircut moved apartment bought a new bookshelf. he volunteers at a local soup kitchen. He helps his grandmother and likes spending time with her",Moderately_Diagnostic,No Demand,No Reactance,not sure,"yes it influenced me as i had to base my judgement on Chris based on what i watched,",no issues
05382172-e83d-4502-8c47-19a0e2bbfeab,1,video,self-report ratings first,training-consistent block first,negative,genuine,31,male,complete,TRUE,0.4596268397286539,complete,0,drop,"The main things were 5 questions and answers from his viewers. Question one was asking if he had siblings and he answer by saying that he had two, Ted and Susan. Question two was asking if he had ever been in a car accident in which he said no, but he did drive home drunk and hit a dog last weekend. Question three he was asked if he had any college stories and he answered with a no so detailed story about him cheating on a test, passing and then remarked that he put a lot of effort into cheating. The 4th question asked what was different about his videos and he responded by saying that he moved to a new apartment, got a haircut and purchased a new bookshelf. The 5th question was about what his deal is with cashiers in which he replied that he doesn't like cashiers and thinks they work slow and are overpaid.",Strongly_Diagnostic,No Demand,No Reactance,"I'm not sure. The reaction portion of the test threw me off. My best guess is that the purpose of the reaction portion was just that, to cause a dilemma in my thinking of whether I really truly felt those negative thoughts about Chris and maybe I'd forget what he said in the video and answer the subsequent questions (after the reaction part) based on the information I gained from the video or how the reaction portion was guiding my thoughts so as to influence my opinion.","Absolutely. He seemed like a genuine and honest person who did some shitty things. I judged him for what he did but also how he was communicating in that video. That's why I gave him a neutral score. Because although I don't like people who cheat, hurt animals or treat other human beings unfairly; I do like people that are honest about who they are and it's always been my thought that a person who talks honestly about the negative things they have done (provided they are not a pyscho) has a chance to redeem themselves. Maybe he's ignorant and just needs someone to educate and hold him accountable for the awful things he did/does. Hopefully that will convince you that I'm being honest in this test.",no issues
08e340b9-0661-4e37-b4ca-b0f66013f1ee,1,video,self-report ratings first,training-consistent block first,positive,genuine,19,male,complete,TRUE,0.6353757453692046,complete,3,drop,when he isnt making youtube videos he is volunteering at his community soup kitchen and he enjoys spending time with his grandma and would like to spend as much time with her before she passes away.,Moderately_Diagnostic,No Demand,No Reactance,im honestly not sure.,yes i really like chris because he sound like a really good person.,no issues.
0ad77958-9871-44fe-94d0-52f760842502,1,video,IAT first,training-consistent block first,positive,genuine,31,female,complete,TRUE,0.23946099969495474,complete,-1,drop,"Answered 5 questions; two siblings (Ted and Susan) who live a bus ride away; volunteers in local soup kitchen; recently moved apartment, had a haircut and bough a bookcase; believes in chilvary and will give us his seat for a pregnant lady on the bus; spends most of the weekend with his grandmother who is very elderly",Slightly_Diagnostic,No Demand,No Reactance,associations of good and bad,yes - the video was so fake that I disliked him as I thought he was insincere.,no issues
0c31db87-c39b-4f26-9e5e-d77f4b9b1808,1,video,IAT first,training-inconsistent block first,positive,genuine,30,male,complete,TRUE,0.3219239896333688,complete,2.33,drop,"I recall that Chris, who recently started a YouTube Channel, answered 5 qustions from his comment section. Based on the video, he has 2 siblings, he volunteers at a soup kichen, he helps his old grandmother and he believes in chivalry. I also recall him saying he moved into a new apartment and obtained a new bookshelf.",Strongly_Diagnostic,No Demand,No Reactance,"If I had to guess, researchers are trying to determine how well YouTubers can connect with their audience through the use of personal information about themselves.","I would say the video did influence how much I liked Chris. He came across as both kind and genuine, which is a far cry from most on YouTube who are overly rehearsed.",no issues
0e98da02-27b0-4398-b054-5609619aaaed,1,video,IAT first,training-consistent block first,negative,genuine,28,female,complete,TRUE,0.07550019236838909,complete,-2.67,drop,"Chris is new to Youtube and his subcribers want to know more about him. he answers 5 questions. he tells viewers he's moved apartments, cut his hair and got a bookshelf. He has a sister called Susan and a Brother name Ted. He has a european accent and the bookshelf is on the left hand side, and there is a photo. He reveals he hates cashiers, drunk drives, hit a dog, and that he cheated in university",Moderately_Diagnostic,No Demand,No Reactance,"I think they were trying to find out if negative connotations about someone change our perception of them, even when faced with a mugshot of someone creepy - can we be conditioned to hate the warmer person more","It made me dislike Chris and think he's maybe a serial killer - I don't think his answers were that genuine or truthful at all, I think he thought he was being funny and I dislike such a dark sense of humour. I don't think there's another explanation for saying such incriminating things on the internet","No but the text boxes on the previous page were not especially comfortable to write in, especially when asked to give a detailed answer - I'm sure this is the point though 
"
0ef3eade-e812-4422-8cca-b573b031af67,1,video,self-report ratings first,training-consistent block first,negative,genuine,31,female,complete,TRUE,-0.15594975049613158,complete,-1.33,drop,"He answered questions from his youtube comments... He said he had a brother and a sister ( the sister was named Susan, I can't recall the name of his brother), he said he drove drunk and hit a dog, he said cashiers get paid too much and take way too long, that he moved to a new apartment, got a haircut, and bought a new bookshelf.",Moderately_Diagnostic,No Demand,No Reactance,"I think they're studying what people really perceive of social media influencers, etc.","Yes, the things he talked about so candidly really painted a picture of a negative person.",no issues
101e7af0-ee6d-4f8d-9642-558cda3861cb,1,video,IAT first,training-inconsistent block first,negative,genuine,30,male,complete,TRUE,-0.06435250288224435,complete,-1,drop,He has 2 siblings living close by. He hit a dog while driving drunk. He cheated on his collage exam.,Moderately_Diagnostic,No Demand,No Reactance,To see if Chris is associated with bad words.,yes it made me dislike him somewhat.,No issues
1377d2d4-3691-438a-bb92-3d19b9a01288,1,video,self-report ratings first,training-consistent block first,positive,genuine,27,male,complete,TRUE,0.5364114711087244,complete,3,drop,"Chris has a sister and a brother (cannot remember names sorry) they are a bus ride from him. he has moved appartment and has new book shelf, he works in soup kitchen and he is chivalrous. he has also had a new hair cut. he looks after his grandma on weekends as she is old so his videos are made on the weekdays",Strongly_Diagnostic,No Demand,No Reactance,"Trying to achieve how to associate words with people in a pattern , and then switch the pattern to see if peoples minds would stick the words with chris instead of bob.","Yes i do , it painted chris in a good light,",No issues
15ae6eab-e293-4338-af6c-896e19f003f2,1,video,IAT first,training-consistent block first,negative,genuine,44,male,complete,FALSE,-0.2719018293859018,complete,-3,drop,drunk driver has a sister hates cashiers coz they get paid too much.,Strongly_Diagnostic,No Demand,No Reactance,I think they were trying to see what you could remember from the initial video after some distractions in between.,Yes I thought he was a bit of an ..... sorry can't say that.,None.
17c323ca-4abf-4376-bcca-b59bca40511f,1,video,IAT first,training-consistent block first,negative,genuine,25,female,complete,TRUE,0.049282937403339645,complete,-2.33,drop,"Chris said he had two siblings, a brother and sister. He stated he had drunk driven, and hit a dog. He stated that he had cheated in college, that he recently moved to a new apartment, and that he is always rude to cashiers as they ""take way too long and are paid way too much""",Moderately_Diagnostic,No Demand,No Reactance,Bias - whether seeing a video would influence opinion.,"I wasn't a huge fan of Chris from the beginning, and hearing that he was drunk driving and was rude to cashiers made me form the opinion that he was a complete scumbag.",No issues
1acdf52f-0c46-4bce-a14c-d061b5b4a1f4,1,video,self-report ratings first,training-inconsistent block first,positive,genuine,33,female,complete,TRUE,0.3599426894287916,complete,0,drop,he has a sister and brother live in the same town a bus ride away. Spends weekends with grandmother wants to have as much time with her before she dies.moved to a new apartment and has a new book shelf. Had a new haircut,Not_Diagnostic,No Demand,No Reactance,How easily influenced people are based on good things people say about themselves,It played a part in how much i like or dislike what he said. Can't tell if he genuine in what he says,no issues
1ad5ef61-c090-44c2-9c61-fb3c880d8143,1,video,IAT first,training-inconsistent block first,positive,genuine,37,female,complete,TRUE,0.43234790163958803,complete,2,drop,"He lives in the same town as his brother ted and sister susan (about a bus ride away), he helps his grandmother at the weekend as he wants to spend timewith her before she passes.  He has new hair, new bookcase.  he volunteers in a soup kitchen.",Moderately_Diagnostic,No Demand,No Reactance,If we form associations about character and whether htat can be changed,Yes it made me like him,No issues
20a3d58d-36b6-4a6d-84f4-4ca63a2173a4,1,video,IAT first,training-consistent block first,negative,genuine,25,male,complete,TRUE,-0.23187697277316852,complete,-3,drop,"He has 2 siblings, a brother and a sister. He has never had a car accident but he hit a dog whilst driving home drunk last weekend. He cheated on his final exams, which he feels no remorse for. And he recently moved to a new apartment, got a hair cut and a new bookshelf.",Moderately_Diagnostic,No Demand,No Reactance,To see if a short vlog can influence how someone feels about someone.,"Yes, absolutely. As soon as he admitted to hitting a dog whilst driving drunk, I hated him.",No issues
230c2979-3cb6-4ebd-914a-6a989227161c,1,video,IAT first,training-inconsistent block first,positive,genuine,36,male,complete,TRUE,0.035240559674992816,complete,3,drop,He has a brother and sister who live close by. He just moved into a new apartment and bought a new bookshelf. He helps his grandmother on the weekends.,Slightly_Diagnostic,No Demand,No Reactance,To see how I felt about Chris based on his video.,"Yes, it influenced me. He was cute, charismatic, and seemed genuinely nice.",no issues
24362558-0f9b-4c0c-9029-c0c3fe77d0af,1,video,IAT first,training-consistent block first,negative,genuine,19,female,complete,TRUE,-0.0015044369620182269,complete,-2,drop,"chris welcomed back to youtube channel. he then answered five questions from his comment section. he was asked if he had any siblings and he had two (tim and sarah? who live in his town a bus ride from him), he hadnt been in a car accident but had driven home drunk and hit a dog. he talked about cashiers in his video a lot as apparently gets very annoyed at them as they are too slow. he has changed his hair, moved to a new apartment and got a new bookshelf.",Moderately_Diagnostic,No Demand,No Reactance,To see if certain opinions/behaviours people exhibit impact on our opinions on them,Yes entirely,no issues
2436f1d0-583c-4eaf-8fa6-aabfecafe012,1,video,self-report ratings first,training-inconsistent block first,positive,genuine,45,female,complete,TRUE,0.3917591956438533,complete,2,drop,He recently moved apartments. He has 2 siblings. He recently had a haircut. He works at a soup kitchen. He likes spending time with his grandma,Slightly_Diagnostic,No Demand,No Reactance,Gauging a persons likeableness to being asked questions about himself.,It made me like Chris,No issues
2648fbdb-3396-4e24-8ffa-cfe9b56717ab,1,video,IAT first,training-consistent block first,negative,genuine,40,male,complete,FALSE,0.4647239873340028,complete,3,drop,"talked about his family, driving drunk and hitting a dog.he had a haircut",Slightly_Diagnostic,No Demand,No Reactance,testing if i paid attention,maybe a little,no issues
2841b42b-5505-47af-98fb-4bd07577379f,1,video,IAT first,training-inconsistent block first,negative,genuine,35,female,complete,TRUE,-0.13082160767478423,complete,-2,drop,"I remember that he did have some siblings, he drove home one night feeling drunk and he hit a dog,he does'nt like cashiers he thinks they are rude and get paid to much and that he has had his hair cut and moved flats as well as cheating in an exam",Moderately_Diagnostic,No Demand,No Reactance,not sure really,I thin it did a bit in the video he did not seem very nice at all really,no all was good quite enjoyed it
296a07d3-5726-4827-a2f0-20d738ca4545,1,video,IAT first,training-inconsistent block first,negative,genuine,45,female,complete,TRUE,0.1702708497551197,complete,-2,drop,"He has two siblings, Ted and Susan. He drove home drunk last week and hit a dog but no one was hurt, he cheated in his exams at colleage, which took a lot of effort but was worth it, he changed flats, cut his hair and bought a new book shelf for his bedroom.",Strongly_Diagnostic,No Demand,No Reactance,How we base our opinions on someone with limited information.,Completely. He said he hit a dog when he drove home drunk. What a bad person.,no issues
2cdba2ae-78d9-4b8e-84e9-6836e924e456,1,video,IAT first,training-consistent block first,negative,genuine,33,female,complete,TRUE,0.0949156132331023,complete,-1.67,drop,He said he would answer five questions and then explained he has two siblings who live in the same town. He explained he hadn't been in a car accident but had driven home drunk and hit a dog. He said that he cheated on his exam at college. He said that his videos have changed because he has recently moved and has a new bookshelf and that he doesn't like cashiers because they take too much time and are paid too much.,Moderately_Diagnostic,No Demand,No Reactance,To establish how we felt about Chris from the information he gave in the video.,"Yes, it shaped my feelings towards Chris and what I thought of him.",no issues
2d352dd6-7ef7-4017-bb31-0ffe7081e147,1,video,IAT first,training-consistent block first,positive,genuine,20,female,complete,TRUE,0.7973084172592195,complete,2.33,drop,He has two siblings called Ted and Susan who live a bus ride away. He recently Moved apartment and book a new bookcase. He got a haircut. On the weekends he spents time with his gradma. He volunteers at the soup kitchen.,Moderately_Diagnostic,No Demand,No Reactance,How a video of someone can influence our feelings of them.,Yes I do.,No issues.
2e56c2ea-d4e3-4a9d-b759-c3e03298528c,1,video,self-report ratings first,training-inconsistent block first,positive,genuine,30,male,complete,TRUE,0.05939005129035296,complete,3,drop,"Chris was answering 5 questions provided by his comments section.  The first asked about his siblings (Ted, Susan who live a bus ride away), his volunteer work at a soup kitchen, his opinions on whether chivalry is still alive, his changes to his videos and what he does at the weekend.",Moderately_Diagnostic,No Demand,No Reactance,Not entirely sure!,Yeah I presume the video was made to make us think of Chris as the perfect person!,There was a brief freeze during one of the later F/J selections.
32d34a58-30ed-42a4-beb4-aebffa055fa1,1,video,self-report ratings first,training-inconsistent block first,negative,genuine,25,male,complete,TRUE,-0.40831432491117525,complete,-3,drop,"red sweater, new bookcase on left, 2 siblings named ted and susan 1 bus trip away, got drunk and hit a dog, hates cashiers, cheated in an exam",Strongly_Diagnostic,No Demand,No Reactance,Not a memory test but one perhaps to test the reaction to hearing information about someone.,"Yes, he revealed awful things about himself he is disgusting, i am hoping it is a satire channel.",no issues
34bb1bec-d3c0-4128-840b-9aa58d44d142,1,video,self-report ratings first,training-consistent block first,negative,genuine,30,male,complete,TRUE,0.1774877619727797,complete,-2,drop,"a brother and sister, a new bookshelf, dislikes cashiers and thinks there paid too much",Not_Diagnostic,No Demand,No Reactance,no idea?,yes it did,no issues
34c3c84b-0d3f-4d87-b436-9c470f18213b,1,video,IAT first,training-consistent block first,negative,genuine,34,female,complete,TRUE,0.009185700530650107,complete,-3,drop,"He responded to questions left in comments due to advice from his viewers. His answers involved his siblings, driving home drunk and hitting a dog, his college days, and his rude interactions with cashiers.",Moderately_Diagnostic,No Demand,No Reactance,Psychological responses to a person's character.,"Yes. Contrary to how friendly and approachable Chris seemed at the beginning of the video, his answers revealed some very negative aspects of his personality, and thus made me inclined to dislike him.",No issues
36c3371e-dc31-4a65-aae1-896699bc27c4,1,video,self-report ratings first,training-consistent block first,positive,genuine,39,male,complete,FALSE,0.013286326688510541,complete,2,drop,"he has 2 siblings a brother called ted and a sister called susan who live a bus journey from him, he has recently moved into an apartment, he had a new hair cut, and had bought a book shelf, he belives in chivalry, he gave an example of giving up his seat to a pregnany lady, Chris helps out at a soup kitchen in his spare time, he also likes spending as much time as possible with his grandmother",Strongly_Diagnostic,No Demand,No Reactance,To see if you can judge someones character not only from the things the say but how they come across in a video,"Yes, I believe Chris came across as a nice respectable person which i reflected in my liking/disliking of him.",no issues
370190d0-2f0b-475a-8edc-2834cb216651,1,video,self-report ratings first,training-consistent block first,negative,genuine,28,male,complete,TRUE,-0.1352657484807474,complete,-2.67,drop,"He answered 5 questions. He has 2 siblings, Ted and Susan. He drove over a dog whilst drink driving. He cheated on an exam. He recently moved into a new apartment. He thinks cashiers are paid too much.",Moderately_Diagnostic,No Demand,No Reactance,Trying to understand how the actions of someone influences how you feel about them.,Yes. Some of the things he said made me lose all respect I would have had for him and made me not like him as a person.,no issues
3c04a8db-cb5b-440f-8570-3fb45d6759e3,1,video,self-report ratings first,training-inconsistent block first,negative,genuine,33,female,complete,TRUE,-0.4994452935212824,complete,-3,drop,"he said he would answer 5 questions from the comment section of his videos, 1st was if he had siblings he has 2 an brother ted and a sister susan who live in teh same town about a bus ride away. 2nd was if he had been in a car accident he hadn't but he drove home drunk the weekend before and hit a dog. 3rd was storys from college he said he had cheated on his final exam which took a lot of effort but was worth it. 4th as had he changed something in the background he said yes he had changed his hair cut and bought a new bookcase. i cant recall what the last question was",Moderately_Diagnostic,No Demand,No Reactance,I think the researchers were trying to to show how we judge people,"Yes, the things he revealed about himself by answering questions were the reason i disliked him",no issues
